Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 6, 'prompt_tokens': 233, 'total_tokens': 239}",0
1,D,D,"{'completion_tokens': 12, 'prompt_tokens': 194, 'total_tokens': 206}",1
2,B,B,"{'completion_tokens': 12, 'prompt_tokens': 393, 'total_tokens': 405}",1
3,B,D,"{'completion_tokens': 26, 'prompt_tokens': 387, 'total_tokens': 413}",0
4,B,B,"{'completion_tokens': 12, 'prompt_tokens': 268, 'total_tokens': 280}",1
5,B,D,"{'completion_tokens': 11, 'prompt_tokens': 203, 'total_tokens': 214}",0
6,A,C,"{'completion_tokens': 13, 'prompt_tokens': 194, 'total_tokens': 207}",0
7,C,C,"{'completion_tokens': 6, 'prompt_tokens': 282, 'total_tokens': 288}",1
8,B,B,"{'completion_tokens': 16, 'prompt_tokens': 234, 'total_tokens': 250}",1
9,A,A,"{'completion_tokens': 6, 'prompt_tokens': 180, 'total_tokens': 186}",1
10,D,D,"{'completion_tokens': 22, 'prompt_tokens': 343, 'total_tokens': 365}",1
11,D,D,"{'completion_tokens': 12, 'prompt_tokens': 349, 'total_tokens': 361}",1
12,B,B,"{'completion_tokens': 11, 'prompt_tokens': 199, 'total_tokens': 210}",1
13,D,D,"{'completion_tokens': 15, 'prompt_tokens': 227, 'total_tokens': 242}",1
14,D,C,"{'completion_tokens': 10, 'prompt_tokens': 225, 'total_tokens': 235}",0
15,D,B,"{'completion_tokens': 10, 'prompt_tokens': 272, 'total_tokens': 282}",0
16,D,D,"{'completion_tokens': 10, 'prompt_tokens': 301, 'total_tokens': 311}",1
17,D,D,"{'completion_tokens': 8, 'prompt_tokens': 280, 'total_tokens': 288}",1
18,A,B,"{'completion_tokens': 16, 'prompt_tokens': 301, 'total_tokens': 317}",0
19,B,D,"{'completion_tokens': 11, 'prompt_tokens': 246, 'total_tokens': 257}",0
20,A,C,"{'completion_tokens': 10, 'prompt_tokens': 278, 'total_tokens': 288}",0
21,A,A,"{'completion_tokens': 14, 'prompt_tokens': 239, 'total_tokens': 253}",1
22,C,C,"{'completion_tokens': 15, 'prompt_tokens': 308, 'total_tokens': 323}",1
23,A,D,"{'completion_tokens': 13, 'prompt_tokens': 317, 'total_tokens': 330}",0
24,A,A,"{'completion_tokens': 13, 'prompt_tokens': 401, 'total_tokens': 414}",1
25,D,D,"{'completion_tokens': 10, 'prompt_tokens': 172, 'total_tokens': 182}",1
26,D,D,"{'completion_tokens': 11, 'prompt_tokens': 272, 'total_tokens': 283}",1
27,A,A,"{'completion_tokens': 6, 'prompt_tokens': 302, 'total_tokens': 308}",1
28,B,D,"{'completion_tokens': 11, 'prompt_tokens': 370, 'total_tokens': 381}",0
29,A,C,"{'completion_tokens': 10, 'prompt_tokens': 269, 'total_tokens': 279}",0
30,D,D,"{'completion_tokens': 14, 'prompt_tokens': 335, 'total_tokens': 349}",1
31,D,C,"{'completion_tokens': 14, 'prompt_tokens': 192, 'total_tokens': 206}",0
32,B,D,"{'completion_tokens': 17, 'prompt_tokens': 309, 'total_tokens': 326}",0
33,C,B,"{'completion_tokens': 14, 'prompt_tokens': 214, 'total_tokens': 228}",0
34,A,A,"{'completion_tokens': 17, 'prompt_tokens': 423, 'total_tokens': 440}",1
35,A,A,"{'completion_tokens': 11, 'prompt_tokens': 214, 'total_tokens': 225}",1
36,D,D,"{'completion_tokens': 19, 'prompt_tokens': 186, 'total_tokens': 205}",1
37,A,A,"{'completion_tokens': 12, 'prompt_tokens': 188, 'total_tokens': 200}",1
38,D,D,"{'completion_tokens': 12, 'prompt_tokens': 361, 'total_tokens': 373}",1
39,D,A,"{'completion_tokens': 22, 'prompt_tokens': 222, 'total_tokens': 244}",0
40,C,C,"{'completion_tokens': 17, 'prompt_tokens': 355, 'total_tokens': 372}",1
41,C,C,"{'completion_tokens': 11, 'prompt_tokens': 471, 'total_tokens': 482}",1
42,A,A,"{'completion_tokens': 13, 'prompt_tokens': 356, 'total_tokens': 369}",1
43,C,B,"{'completion_tokens': 10, 'prompt_tokens': 149, 'total_tokens': 159}",0
44,C,A,"{'completion_tokens': 15, 'prompt_tokens': 342, 'total_tokens': 357}",0
45,A,D,"{'completion_tokens': 6, 'prompt_tokens': 288, 'total_tokens': 294}",0
46,B,C,"{'completion_tokens': 10, 'prompt_tokens': 261, 'total_tokens': 271}",0
47,A,A,"{'completion_tokens': 17, 'prompt_tokens': 318, 'total_tokens': 335}",1
48,B,B,"{'completion_tokens': 12, 'prompt_tokens': 265, 'total_tokens': 277}",1
49,C,C,"{'completion_tokens': 19, 'prompt_tokens': 267, 'total_tokens': 286}",1
50,D,D,"{'completion_tokens': 15, 'prompt_tokens': 142, 'total_tokens': 157}",1
51,D,A,"{'completion_tokens': 12, 'prompt_tokens': 320, 'total_tokens': 332}",0
52,D,D,"{'completion_tokens': 14, 'prompt_tokens': 197, 'total_tokens': 211}",1
