Q_idx,pred,real,usage,Correct_Ans
0,C,B,"{'completion_tokens': 884, 'prompt_tokens': 533, 'total_tokens': 1417}",0
1,D,D,"{'completion_tokens': 531, 'prompt_tokens': 494, 'total_tokens': 1025}",1
2,B,B,"{'completion_tokens': 620, 'prompt_tokens': 693, 'total_tokens': 1313}",1
3,B,D,"{'completion_tokens': 969, 'prompt_tokens': 687, 'total_tokens': 1656}",0
4,B,B,"{'completion_tokens': 430, 'prompt_tokens': 568, 'total_tokens': 998}",1
5,A,D,"{'completion_tokens': 1053, 'prompt_tokens': 503, 'total_tokens': 1556}",0
6,B,C,"{'completion_tokens': 1670, 'prompt_tokens': 494, 'total_tokens': 2164}",0
7,C,C,"{'completion_tokens': 474, 'prompt_tokens': 582, 'total_tokens': 1056}",1
8,B,B,"{'completion_tokens': 482, 'prompt_tokens': 534, 'total_tokens': 1016}",1
9,A,A,"{'completion_tokens': 412, 'prompt_tokens': 480, 'total_tokens': 892}",1
10,D,D,"{'completion_tokens': 629, 'prompt_tokens': 643, 'total_tokens': 1272}",1
11,D,D,"{'completion_tokens': 418, 'prompt_tokens': 649, 'total_tokens': 1067}",1
12,B,B,"{'completion_tokens': 330, 'prompt_tokens': 499, 'total_tokens': 829}",1
13,D,D,"{'completion_tokens': 748, 'prompt_tokens': 527, 'total_tokens': 1275}",1
14,C,C,"{'completion_tokens': 568, 'prompt_tokens': 525, 'total_tokens': 1093}",1
15,B,B,"{'completion_tokens': 1970, 'prompt_tokens': 572, 'total_tokens': 2542}",1
16,D,D,"{'completion_tokens': 360, 'prompt_tokens': 601, 'total_tokens': 961}",1
17,D,D,"{'completion_tokens': 307, 'prompt_tokens': 580, 'total_tokens': 887}",1
18,A,B,"{'completion_tokens': 1159, 'prompt_tokens': 601, 'total_tokens': 1760}",0
19,B,D,"{'completion_tokens': 562, 'prompt_tokens': 546, 'total_tokens': 1108}",0
20,C,C,"{'completion_tokens': 527, 'prompt_tokens': 578, 'total_tokens': 1105}",1
21,A,A,"{'completion_tokens': 667, 'prompt_tokens': 539, 'total_tokens': 1206}",1
22,C,C,"{'completion_tokens': 383, 'prompt_tokens': 608, 'total_tokens': 991}",1
23,A,D,"{'completion_tokens': 592, 'prompt_tokens': 617, 'total_tokens': 1209}",0
24,A,A,"{'completion_tokens': 425, 'prompt_tokens': 701, 'total_tokens': 1126}",1
25,D,D,"{'completion_tokens': 574, 'prompt_tokens': 472, 'total_tokens': 1046}",1
26,D,D,"{'completion_tokens': 484, 'prompt_tokens': 572, 'total_tokens': 1056}",1
27,A,A,"{'completion_tokens': 401, 'prompt_tokens': 602, 'total_tokens': 1003}",1
28,D,D,"{'completion_tokens': 1200, 'prompt_tokens': 670, 'total_tokens': 1870}",1
29,A,C,"{'completion_tokens': 389, 'prompt_tokens': 569, 'total_tokens': 958}",0
30,D,D,"{'completion_tokens': 759, 'prompt_tokens': 635, 'total_tokens': 1394}",1
31,D,C,"{'completion_tokens': 2423, 'prompt_tokens': 492, 'total_tokens': 2915}",0
32,C,D,"{'completion_tokens': 1094, 'prompt_tokens': 609, 'total_tokens': 1703}",0
33,C,B,"{'completion_tokens': 2063, 'prompt_tokens': 514, 'total_tokens': 2577}",0
34,D,A,"{'completion_tokens': 654, 'prompt_tokens': 723, 'total_tokens': 1377}",0
35,A,A,"{'completion_tokens': 475, 'prompt_tokens': 514, 'total_tokens': 989}",1
36,D,D,"{'completion_tokens': 887, 'prompt_tokens': 486, 'total_tokens': 1373}",1
37,A,A,"{'completion_tokens': 1192, 'prompt_tokens': 488, 'total_tokens': 1680}",1
38,D,D,"{'completion_tokens': 902, 'prompt_tokens': 661, 'total_tokens': 1563}",1
39,A,A,"{'completion_tokens': 771, 'prompt_tokens': 522, 'total_tokens': 1293}",1
40,C,C,"{'completion_tokens': 433, 'prompt_tokens': 655, 'total_tokens': 1088}",1
41,C,C,"{'completion_tokens': 551, 'prompt_tokens': 771, 'total_tokens': 1322}",1
42,A,A,"{'completion_tokens': 315, 'prompt_tokens': 656, 'total_tokens': 971}",1
43,C,B,"{'completion_tokens': 1999, 'prompt_tokens': 449, 'total_tokens': 2448}",0
44,C,A,"{'completion_tokens': 540, 'prompt_tokens': 642, 'total_tokens': 1182}",0
45,D,D,"{'completion_tokens': 2186, 'prompt_tokens': 588, 'total_tokens': 2774}",1
46,C,C,"{'completion_tokens': 385, 'prompt_tokens': 561, 'total_tokens': 946}",1
47,A,A,"{'completion_tokens': 451, 'prompt_tokens': 618, 'total_tokens': 1069}",1
48,B,B,"{'completion_tokens': 512, 'prompt_tokens': 565, 'total_tokens': 1077}",1
49,C,C,"{'completion_tokens': 424, 'prompt_tokens': 567, 'total_tokens': 991}",1
50,D,D,"{'completion_tokens': 494, 'prompt_tokens': 442, 'total_tokens': 936}",1
51,A,A,"{'completion_tokens': 2416, 'prompt_tokens': 620, 'total_tokens': 3036}",1
52,D,D,"{'completion_tokens': 632, 'prompt_tokens': 497, 'total_tokens': 1129}",1
53,C,C,"{'completion_tokens': 521, 'prompt_tokens': 474, 'total_tokens': 995}",1
54,A,A,"{'completion_tokens': 1036, 'prompt_tokens': 508, 'total_tokens': 1544}",1
55,A,A,"{'completion_tokens': 458, 'prompt_tokens': 562, 'total_tokens': 1020}",1
56,C,C,"{'completion_tokens': 566, 'prompt_tokens': 443, 'total_tokens': 1009}",1
57,B,B,"{'completion_tokens': 1037, 'prompt_tokens': 538, 'total_tokens': 1575}",1
58,C,C,"{'completion_tokens': 512, 'prompt_tokens': 753, 'total_tokens': 1265}",1
59,C,A,"{'completion_tokens': 1335, 'prompt_tokens': 581, 'total_tokens': 1916}",0
60,C,C,"{'completion_tokens': 504, 'prompt_tokens': 538, 'total_tokens': 1042}",1
61,A,A,"{'completion_tokens': 402, 'prompt_tokens': 481, 'total_tokens': 883}",1
62,A,D,"{'completion_tokens': 1171, 'prompt_tokens': 611, 'total_tokens': 1782}",0
63,C,A,"{'completion_tokens': 955, 'prompt_tokens': 682, 'total_tokens': 1637}",0
64,A,A,"{'completion_tokens': 2370, 'prompt_tokens': 594, 'total_tokens': 2964}",1
65,B,B,"{'completion_tokens': 865, 'prompt_tokens': 542, 'total_tokens': 1407}",1
66,C,C,"{'completion_tokens': 410, 'prompt_tokens': 564, 'total_tokens': 974}",1
67,B,B,"{'completion_tokens': 958, 'prompt_tokens': 626, 'total_tokens': 1584}",1
68,D,D,"{'completion_tokens': 536, 'prompt_tokens': 605, 'total_tokens': 1141}",1
69,D,A,"{'completion_tokens': 667, 'prompt_tokens': 596, 'total_tokens': 1263}",0
70,A,A,"{'completion_tokens': 835, 'prompt_tokens': 764, 'total_tokens': 1599}",1
71,A,A,"{'completion_tokens': 772, 'prompt_tokens': 585, 'total_tokens': 1357}",1
72,A,C,"{'completion_tokens': 1009, 'prompt_tokens': 796, 'total_tokens': 1805}",0
73,B,B,"{'completion_tokens': 435, 'prompt_tokens': 550, 'total_tokens': 985}",1
74,A,C,"{'completion_tokens': 428, 'prompt_tokens': 643, 'total_tokens': 1071}",0
75,C,A,"{'completion_tokens': 418, 'prompt_tokens': 503, 'total_tokens': 921}",0
76,B,B,"{'completion_tokens': 411, 'prompt_tokens': 591, 'total_tokens': 1002}",1
77,C,B,"{'completion_tokens': 1644, 'prompt_tokens': 516, 'total_tokens': 2160}",0
78,C,C,"{'completion_tokens': 2459, 'prompt_tokens': 506, 'total_tokens': 2965}",1
79,C,C,"{'completion_tokens': 691, 'prompt_tokens': 647, 'total_tokens': 1338}",1
80,B,B,"{'completion_tokens': 472, 'prompt_tokens': 450, 'total_tokens': 922}",1
81,A,A,"{'completion_tokens': 1984, 'prompt_tokens': 503, 'total_tokens': 2487}",1
82,C,C,"{'completion_tokens': 284, 'prompt_tokens': 504, 'total_tokens': 788}",1
83,A,A,"{'completion_tokens': 2053, 'prompt_tokens': 674, 'total_tokens': 2727}",1
84,C,C,"{'completion_tokens': 473, 'prompt_tokens': 610, 'total_tokens': 1083}",1
85,B,B,"{'completion_tokens': 321, 'prompt_tokens': 593, 'total_tokens': 914}",1
86,C,C,"{'completion_tokens': 362, 'prompt_tokens': 556, 'total_tokens': 918}",1
87,C,C,"{'completion_tokens': 1492, 'prompt_tokens': 760, 'total_tokens': 2252}",1
88,C,C,"{'completion_tokens': 1140, 'prompt_tokens': 630, 'total_tokens': 1770}",1
89,B,B,"{'completion_tokens': 387, 'prompt_tokens': 622, 'total_tokens': 1009}",1
90,D,D,"{'completion_tokens': 493, 'prompt_tokens': 574, 'total_tokens': 1067}",1
91,B,B,"{'completion_tokens': 950, 'prompt_tokens': 552, 'total_tokens': 1502}",1
