Q_idx,pred,real,usage,Correct_Ans
0,B,B,"{'completion_tokens': 998, 'prompt_tokens': 533, 'total_tokens': 1531}",1
1,D,D,"{'completion_tokens': 726, 'prompt_tokens': 494, 'total_tokens': 1220}",1
2,B,B,"{'completion_tokens': 805, 'prompt_tokens': 693, 'total_tokens': 1498}",1
3,B,D,"{'completion_tokens': 1028, 'prompt_tokens': 687, 'total_tokens': 1715}",0
4,B,B,"{'completion_tokens': 528, 'prompt_tokens': 568, 'total_tokens': 1096}",1
5,A,D,"{'completion_tokens': 1660, 'prompt_tokens': 503, 'total_tokens': 2163}",0
6,A,C,"{'completion_tokens': 1304, 'prompt_tokens': 494, 'total_tokens': 1798}",0
7,C,C,"{'completion_tokens': 630, 'prompt_tokens': 582, 'total_tokens': 1212}",1
8,B,B,"{'completion_tokens': 1018, 'prompt_tokens': 534, 'total_tokens': 1552}",1
9,A,A,"{'completion_tokens': 2488, 'prompt_tokens': 480, 'total_tokens': 2968}",1
10,D,D,"{'completion_tokens': 1178, 'prompt_tokens': 643, 'total_tokens': 1821}",1
11,D,D,"{'completion_tokens': 992, 'prompt_tokens': 649, 'total_tokens': 1641}",1
12,D,B,"{'completion_tokens': 869, 'prompt_tokens': 499, 'total_tokens': 1368}",0
13,D,D,"{'completion_tokens': 1466, 'prompt_tokens': 527, 'total_tokens': 1993}",1
14,D,C,"{'completion_tokens': 1394, 'prompt_tokens': 525, 'total_tokens': 1919}",0
15,B,B,"{'completion_tokens': 944, 'prompt_tokens': 572, 'total_tokens': 1516}",1
16,C,D,"{'completion_tokens': 419, 'prompt_tokens': 601, 'total_tokens': 1020}",0
17,D,D,"{'completion_tokens': 328, 'prompt_tokens': 580, 'total_tokens': 908}",1
18,B,B,"{'completion_tokens': 771, 'prompt_tokens': 601, 'total_tokens': 1372}",1
19,A,D,"{'completion_tokens': 3063, 'prompt_tokens': 546, 'total_tokens': 3609}",0
20,C,C,"{'completion_tokens': 374, 'prompt_tokens': 578, 'total_tokens': 952}",1
21,A,A,"{'completion_tokens': 983, 'prompt_tokens': 539, 'total_tokens': 1522}",1
22,C,C,"{'completion_tokens': 1313, 'prompt_tokens': 608, 'total_tokens': 1921}",1
23,A,D,"{'completion_tokens': 958, 'prompt_tokens': 617, 'total_tokens': 1575}",0
24,A,A,"{'completion_tokens': 1281, 'prompt_tokens': 701, 'total_tokens': 1982}",1
25,D,D,"{'completion_tokens': 1257, 'prompt_tokens': 472, 'total_tokens': 1729}",1
26,D,D,"{'completion_tokens': 476, 'prompt_tokens': 572, 'total_tokens': 1048}",1
27,A,A,"{'completion_tokens': 443, 'prompt_tokens': 602, 'total_tokens': 1045}",1
28,D,D,"{'completion_tokens': 2669, 'prompt_tokens': 670, 'total_tokens': 3339}",1
29,C,C,"{'completion_tokens': 1882, 'prompt_tokens': 569, 'total_tokens': 2451}",1
30,D,D,"{'completion_tokens': 1821, 'prompt_tokens': 635, 'total_tokens': 2456}",1
31,D,C,"{'completion_tokens': 2324, 'prompt_tokens': 492, 'total_tokens': 2816}",0
32,C,D,"{'completion_tokens': 1995, 'prompt_tokens': 609, 'total_tokens': 2604}",0
