Q_idx,pred,real,usage,Correct_Ans
0,B,B,"{'total_duration': 13718701756, 'load_duration': 7240771142, 'prompt_eval_count': 533, 'prompt_eval_duration': 879038876, 'eval_count': 419, 'eval_duration': 5577169326}",1
1,C,D,"{'total_duration': 11410376936, 'load_duration': 31988536, 'prompt_eval_count': 494, 'prompt_eval_duration': 76199917, 'eval_count': 843, 'eval_duration': 11289134746}",0
2,B,B,"{'total_duration': 5926183412, 'load_duration': 38991011, 'prompt_eval_count': 693, 'prompt_eval_duration': 185871369, 'eval_count': 423, 'eval_duration': 5674984442}",1
3,$,D,"{'total_duration': 26561958978, 'load_duration': 33565790, 'prompt_eval_count': 687, 'prompt_eval_duration': 184872424, 'eval_count': 1893, 'eval_duration': 26318146032}",0
4,B,B,"{'total_duration': 6684025644, 'load_duration': 26556654, 'prompt_eval_count': 568, 'prompt_eval_duration': 158808498, 'eval_count': 492, 'eval_duration': 6474027063}",1
5,A,D,"{'total_duration': 15788947683, 'load_duration': 27547800, 'prompt_eval_count': 503, 'prompt_eval_duration': 73837157, 'eval_count': 1157, 'eval_duration': 15666353491}",0
6,T,C,"{'total_duration': 27574846682, 'load_duration': 37592097, 'prompt_eval_count': 494, 'prompt_eval_duration': 78359364, 'eval_count': 2000, 'eval_duration': 27431010663}",0
7,C,C,"{'total_duration': 3999783355, 'load_duration': 41992746, 'prompt_eval_count': 582, 'prompt_eval_duration': 180943004, 'eval_count': 284, 'eval_duration': 3757856105}",1
8,B,B,"{'total_duration': 7430816107, 'load_duration': 46843303, 'prompt_eval_count': 534, 'prompt_eval_duration': 79733061, 'eval_count': 554, 'eval_duration': 7289770287}",1
9,A,A,"{'total_duration': 16996079924, 'load_duration': 38164995, 'prompt_eval_count': 480, 'prompt_eval_duration': 64761394, 'eval_count': 1233, 'eval_duration': 16874179769}",1
10,D,D,"{'total_duration': 3703853696, 'load_duration': 34214282, 'prompt_eval_count': 643, 'prompt_eval_duration': 180291236, 'eval_count': 260, 'eval_duration': 3456998546}",1
11,D,D,"{'total_duration': 12466345076, 'load_duration': 41544824, 'prompt_eval_count': 649, 'prompt_eval_duration': 172108299, 'eval_count': 905, 'eval_duration': 12233964740}",1
12,D,B,"{'total_duration': 9751340897, 'load_duration': 35111367, 'prompt_eval_count': 499, 'prompt_eval_duration': 83583584, 'eval_count': 710, 'eval_duration': 9614082880}",0
13,D,D,"{'total_duration': 18596000375, 'load_duration': 45010458, 'prompt_eval_count': 527, 'prompt_eval_duration': 85407304, 'eval_count': 1348, 'eval_duration': 18449076678}",1
14,D,C,"{'total_duration': 18250662604, 'load_duration': 36381778, 'prompt_eval_count': 525, 'prompt_eval_duration': 90088310, 'eval_count': 1315, 'eval_duration': 18095077279}",0
15,T,B,"{'total_duration': 27948081493, 'load_duration': 35235649, 'prompt_eval_count': 572, 'prompt_eval_duration': 162883908, 'eval_count': 2000, 'eval_duration': 27720596867}",0
16,D,D,"{'total_duration': 12592814400, 'load_duration': 40147442, 'prompt_eval_count': 601, 'prompt_eval_duration': 185834214, 'eval_count': 911, 'eval_duration': 12340662015}",1
17,D,D,"{'total_duration': 4525678406, 'load_duration': 35428214, 'prompt_eval_count': 580, 'prompt_eval_duration': 168049340, 'eval_count': 328, 'eval_duration': 4305078328}",1
