Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 2, 'prompt_tokens': 584, 'total_tokens': 586}",0
1,B,D,"{'completion_tokens': 2, 'prompt_tokens': 548, 'total_tokens': 550}",0
2,B,B,"{'completion_tokens': 2, 'prompt_tokens': 743, 'total_tokens': 745}",1
3,D,D,"{'completion_tokens': 2, 'prompt_tokens': 753, 'total_tokens': 755}",1
4,B,B,"{'completion_tokens': 2, 'prompt_tokens': 618, 'total_tokens': 620}",1
5,D,D,"{'completion_tokens': 2, 'prompt_tokens': 555, 'total_tokens': 557}",1
6,D,C,"{'completion_tokens': 2, 'prompt_tokens': 544, 'total_tokens': 546}",0
7,C,C,"{'completion_tokens': 2, 'prompt_tokens': 629, 'total_tokens': 631}",1
8,D,B,"{'completion_tokens': 2, 'prompt_tokens': 587, 'total_tokens': 589}",0
9,D,A,"{'completion_tokens': 6, 'prompt_tokens': 534, 'total_tokens': 540}",0
10,D,D,"{'completion_tokens': 2, 'prompt_tokens': 694, 'total_tokens': 696}",1
11,D,D,"{'completion_tokens': 2, 'prompt_tokens': 699, 'total_tokens': 701}",1
12,B,B,"{'completion_tokens': 2, 'prompt_tokens': 550, 'total_tokens': 552}",1
13,D,D,"{'completion_tokens': 2, 'prompt_tokens': 582, 'total_tokens': 584}",1
14,C,C,"{'completion_tokens': 2, 'prompt_tokens': 578, 'total_tokens': 580}",1
15,D,B,"{'completion_tokens': 2, 'prompt_tokens': 621, 'total_tokens': 623}",0
16,D,D,"{'completion_tokens': 2, 'prompt_tokens': 654, 'total_tokens': 656}",1
17,D,D,"{'completion_tokens': 2, 'prompt_tokens': 633, 'total_tokens': 635}",1
18,B,B,"{'completion_tokens': 2, 'prompt_tokens': 658, 'total_tokens': 660}",1
19,D,D,"{'completion_tokens': 2, 'prompt_tokens': 596, 'total_tokens': 598}",1
20,D,C,"{'completion_tokens': 2, 'prompt_tokens': 635, 'total_tokens': 637}",0
21,A,A,"{'completion_tokens': 2, 'prompt_tokens': 592, 'total_tokens': 594}",1
22,C,C,"{'completion_tokens': 2, 'prompt_tokens': 661, 'total_tokens': 663}",1
23,D,D,"{'completion_tokens': 2, 'prompt_tokens': 667, 'total_tokens': 669}",1
24,D,A,"{'completion_tokens': 2, 'prompt_tokens': 748, 'total_tokens': 750}",0
25,D,D,"{'completion_tokens': 2, 'prompt_tokens': 525, 'total_tokens': 527}",1
26,D,D,"{'completion_tokens': 2, 'prompt_tokens': 629, 'total_tokens': 631}",1
27,A,A,"{'completion_tokens': 2, 'prompt_tokens': 655, 'total_tokens': 657}",1
28,D,D,"{'completion_tokens': 2, 'prompt_tokens': 717, 'total_tokens': 719}",1
29,A,C,"{'completion_tokens': 2, 'prompt_tokens': 622, 'total_tokens': 624}",0
30,D,D,"{'completion_tokens': 2, 'prompt_tokens': 685, 'total_tokens': 687}",1
31,D,C,"{'completion_tokens': 2, 'prompt_tokens': 550, 'total_tokens': 552}",0
32,D,D,"{'completion_tokens': 2, 'prompt_tokens': 659, 'total_tokens': 661}",1
33,D,B,"{'completion_tokens': 2, 'prompt_tokens': 571, 'total_tokens': 573}",0
34,D,A,"{'completion_tokens': 2, 'prompt_tokens': 773, 'total_tokens': 775}",0
35,A,A,"{'completion_tokens': 2, 'prompt_tokens': 565, 'total_tokens': 567}",1
36,C,D,"{'completion_tokens': 2, 'prompt_tokens': 538, 'total_tokens': 540}",0
37,A,A,"{'completion_tokens': 2, 'prompt_tokens': 541, 'total_tokens': 543}",1
38,D,D,"{'completion_tokens': 2, 'prompt_tokens': 700, 'total_tokens': 702}",1
39,A,A,"{'completion_tokens': 2, 'prompt_tokens': 579, 'total_tokens': 581}",1
40,C,C,"{'completion_tokens': 2, 'prompt_tokens': 703, 'total_tokens': 705}",1
41,C,C,"{'completion_tokens': 2, 'prompt_tokens': 819, 'total_tokens': 821}",1
42,A,A,"{'completion_tokens': 2, 'prompt_tokens': 714, 'total_tokens': 716}",1
43,B,B,"{'completion_tokens': 2, 'prompt_tokens': 501, 'total_tokens': 503}",1
44,A,A,"{'completion_tokens': 2, 'prompt_tokens': 690, 'total_tokens': 692}",1
45,D,D,"{'completion_tokens': 2, 'prompt_tokens': 632, 'total_tokens': 634}",1
46,A,C,"{'completion_tokens': 2, 'prompt_tokens': 604, 'total_tokens': 606}",0
47,A,A,"{'completion_tokens': 2, 'prompt_tokens': 669, 'total_tokens': 671}",1
48,D,B,"{'completion_tokens': 2, 'prompt_tokens': 615, 'total_tokens': 617}",0
49,C,C,"{'completion_tokens': 2, 'prompt_tokens': 621, 'total_tokens': 623}",1
50,D,D,"{'completion_tokens': 2, 'prompt_tokens': 495, 'total_tokens': 497}",1
51,D,A,"{'completion_tokens': 2, 'prompt_tokens': 673, 'total_tokens': 675}",0
52,D,D,"{'completion_tokens': 2, 'prompt_tokens': 548, 'total_tokens': 550}",1
53,D,C,"{'completion_tokens': 2, 'prompt_tokens': 528, 'total_tokens': 530}",0
54,D,A,"{'completion_tokens': 2, 'prompt_tokens': 560, 'total_tokens': 562}",0
55,D,A,"{'completion_tokens': 2, 'prompt_tokens': 614, 'total_tokens': 616}",0
56,C,C,"{'completion_tokens': 2, 'prompt_tokens': 495, 'total_tokens': 497}",1
57,D,B,"{'completion_tokens': 2, 'prompt_tokens': 589, 'total_tokens': 591}",0
58,C,C,"{'completion_tokens': 2, 'prompt_tokens': 803, 'total_tokens': 805}",1
59,C,A,"{'completion_tokens': 2, 'prompt_tokens': 633, 'total_tokens': 635}",0
60,C,C,"{'completion_tokens': 2, 'prompt_tokens': 593, 'total_tokens': 595}",1
61,A,A,"{'completion_tokens': 2, 'prompt_tokens': 531, 'total_tokens': 533}",1
62,D,D,"{'completion_tokens': 2, 'prompt_tokens': 657, 'total_tokens': 659}",1
63,A,A,"{'completion_tokens': 2, 'prompt_tokens': 741, 'total_tokens': 743}",1
64,D,A,"{'completion_tokens': 2, 'prompt_tokens': 649, 'total_tokens': 651}",0
65,D,B,"{'completion_tokens': 9, 'prompt_tokens': 595, 'total_tokens': 604}",0
66,A,C,"{'completion_tokens': 2, 'prompt_tokens': 618, 'total_tokens': 620}",0
67,B,B,"{'completion_tokens': 2, 'prompt_tokens': 676, 'total_tokens': 678}",1
68,D,D,"{'completion_tokens': 2, 'prompt_tokens': 650, 'total_tokens': 652}",1
69,A,A,"{'completion_tokens': 2, 'prompt_tokens': 646, 'total_tokens': 648}",1
70,A,A,"{'completion_tokens': 2, 'prompt_tokens': 814, 'total_tokens': 816}",1
