Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 3, 'prompt_tokens': 234, 'total_tokens': 237}",0
1,C,D,"{'completion_tokens': 3, 'prompt_tokens': 194, 'total_tokens': 197}",0
2,B,B,"{'completion_tokens': 3, 'prompt_tokens': 377, 'total_tokens': 380}",1
3,B,D,"{'completion_tokens': 3, 'prompt_tokens': 394, 'total_tokens': 397}",0
4,B,B,"{'completion_tokens': 3, 'prompt_tokens': 250, 'total_tokens': 253}",1
5,B,D,"{'completion_tokens': 3, 'prompt_tokens': 203, 'total_tokens': 206}",0
6,A,C,"{'completion_tokens': 7, 'prompt_tokens': 185, 'total_tokens': 192}",0
7,C,C,"{'completion_tokens': 3, 'prompt_tokens': 269, 'total_tokens': 272}",1
8,B,B,"{'completion_tokens': 3, 'prompt_tokens': 229, 'total_tokens': 232}",1
9,A,A,"{'completion_tokens': 3, 'prompt_tokens': 182, 'total_tokens': 185}",1
10,D,D,"{'completion_tokens': 3, 'prompt_tokens': 343, 'total_tokens': 346}",1
11,D,D,"{'completion_tokens': 3, 'prompt_tokens': 342, 'total_tokens': 345}",1
12,A,B,"{'completion_tokens': 7, 'prompt_tokens': 195, 'total_tokens': 202}",0
13,A,D,"{'completion_tokens': 10, 'prompt_tokens': 219, 'total_tokens': 229}",0
14,D,C,"{'completion_tokens': 3, 'prompt_tokens': 223, 'total_tokens': 226}",0
15,B,B,"{'completion_tokens': 3, 'prompt_tokens': 270, 'total_tokens': 273}",1
16,D,D,"{'completion_tokens': 3, 'prompt_tokens': 298, 'total_tokens': 301}",1
17,B,D,"{'completion_tokens': 5, 'prompt_tokens': 278, 'total_tokens': 283}",0
18,B,B,"{'completion_tokens': 3, 'prompt_tokens': 303, 'total_tokens': 306}",1
19,B,D,"{'completion_tokens': 3, 'prompt_tokens': 240, 'total_tokens': 243}",0
20,D,C,"{'completion_tokens': 3, 'prompt_tokens': 276, 'total_tokens': 279}",0
