Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 1767, 'prompt_tokens': 533, 'total_tokens': 2300}",0
1,D,D,"{'completion_tokens': 829, 'prompt_tokens': 494, 'total_tokens': 1323}",1
2,B,B,"{'completion_tokens': 1369, 'prompt_tokens': 693, 'total_tokens': 2062}",1
3,B,D,"{'completion_tokens': 499, 'prompt_tokens': 687, 'total_tokens': 1186}",0
4,B,B,"{'completion_tokens': 697, 'prompt_tokens': 568, 'total_tokens': 1265}",1
5,A,D,"{'completion_tokens': 1633, 'prompt_tokens': 503, 'total_tokens': 2136}",0
6,C,C,"{'completion_tokens': 903, 'prompt_tokens': 494, 'total_tokens': 1397}",1
7,C,C,"{'completion_tokens': 577, 'prompt_tokens': 582, 'total_tokens': 1159}",1
8,B,B,"{'completion_tokens': 359, 'prompt_tokens': 534, 'total_tokens': 893}",1
9,A,A,"{'completion_tokens': 1705, 'prompt_tokens': 480, 'total_tokens': 2185}",1
10,D,D,"{'completion_tokens': 574, 'prompt_tokens': 643, 'total_tokens': 1217}",1
11,D,D,"{'completion_tokens': 1068, 'prompt_tokens': 649, 'total_tokens': 1717}",1
12,B,B,"{'completion_tokens': 271, 'prompt_tokens': 499, 'total_tokens': 770}",1
13,D,D,"{'completion_tokens': 821, 'prompt_tokens': 527, 'total_tokens': 1348}",1
14,C,C,"{'completion_tokens': 1216, 'prompt_tokens': 525, 'total_tokens': 1741}",1
15,B,B,"{'completion_tokens': 1903, 'prompt_tokens': 572, 'total_tokens': 2475}",1
16,D,D,"{'completion_tokens': 440, 'prompt_tokens': 601, 'total_tokens': 1041}",1
17,D,D,"{'completion_tokens': 326, 'prompt_tokens': 580, 'total_tokens': 906}",1
18,B,B,"{'completion_tokens': 591, 'prompt_tokens': 601, 'total_tokens': 1192}",1
19,B,D,"{'completion_tokens': 877, 'prompt_tokens': 546, 'total_tokens': 1423}",0
20,C,C,"{'completion_tokens': 716, 'prompt_tokens': 578, 'total_tokens': 1294}",1
21,C,A,"{'completion_tokens': 1405, 'prompt_tokens': 539, 'total_tokens': 1944}",0
22,C,C,"{'completion_tokens': 403, 'prompt_tokens': 608, 'total_tokens': 1011}",1
23,A,D,"{'completion_tokens': 971, 'prompt_tokens': 617, 'total_tokens': 1588}",0
24,B,A,"{'completion_tokens': 2499, 'prompt_tokens': 701, 'total_tokens': 3200}",0
25,D,D,"{'completion_tokens': 740, 'prompt_tokens': 472, 'total_tokens': 1212}",1
26,C,D,"{'completion_tokens': 428, 'prompt_tokens': 572, 'total_tokens': 1000}",0
27,A,A,"{'completion_tokens': 414, 'prompt_tokens': 602, 'total_tokens': 1016}",1
28,D,D,"{'completion_tokens': 770, 'prompt_tokens': 670, 'total_tokens': 1440}",1
29,A,C,"{'completion_tokens': 1693, 'prompt_tokens': 569, 'total_tokens': 2262}",0
30,D,D,"{'completion_tokens': 2172, 'prompt_tokens': 635, 'total_tokens': 2807}",1
31,C,C,"{'completion_tokens': 1778, 'prompt_tokens': 492, 'total_tokens': 2270}",1
32,D,D,"{'completion_tokens': 888, 'prompt_tokens': 609, 'total_tokens': 1497}",1
33,D,B,"{'completion_tokens': 2488, 'prompt_tokens': 514, 'total_tokens': 3002}",0
34,D,A,"{'completion_tokens': 1690, 'prompt_tokens': 723, 'total_tokens': 2413}",0
35,A,A,"{'completion_tokens': 499, 'prompt_tokens': 514, 'total_tokens': 1013}",1
36,D,D,"{'completion_tokens': 959, 'prompt_tokens': 486, 'total_tokens': 1445}",1
37,A,A,"{'completion_tokens': 1234, 'prompt_tokens': 488, 'total_tokens': 1722}",1
38,D,D,"{'completion_tokens': 1103, 'prompt_tokens': 661, 'total_tokens': 1764}",1
39,A,A,"{'completion_tokens': 1436, 'prompt_tokens': 522, 'total_tokens': 1958}",1
40,C,C,"{'completion_tokens': 661, 'prompt_tokens': 655, 'total_tokens': 1316}",1
41,C,C,"{'completion_tokens': 634, 'prompt_tokens': 771, 'total_tokens': 1405}",1
42,A,A,"{'completion_tokens': 698, 'prompt_tokens': 656, 'total_tokens': 1354}",1
43,B,B,"{'completion_tokens': 3111, 'prompt_tokens': 449, 'total_tokens': 3560}",1
44,A,A,"{'completion_tokens': 456, 'prompt_tokens': 642, 'total_tokens': 1098}",1
45,D,D,"{'completion_tokens': 1360, 'prompt_tokens': 588, 'total_tokens': 1948}",1
46,C,C,"{'completion_tokens': 442, 'prompt_tokens': 561, 'total_tokens': 1003}",1
47,A,A,"{'completion_tokens': 3001, 'prompt_tokens': 618, 'total_tokens': 3619}",1
48,B,B,"{'completion_tokens': 858, 'prompt_tokens': 565, 'total_tokens': 1423}",1
49,C,C,"{'completion_tokens': 784, 'prompt_tokens': 567, 'total_tokens': 1351}",1
50,D,D,"{'completion_tokens': 441, 'prompt_tokens': 442, 'total_tokens': 883}",1
51,A,A,"{'completion_tokens': 1230, 'prompt_tokens': 620, 'total_tokens': 1850}",1
52,D,D,"{'completion_tokens': 749, 'prompt_tokens': 497, 'total_tokens': 1246}",1
53,C,C,"{'completion_tokens': 1576, 'prompt_tokens': 474, 'total_tokens': 2050}",1
54,A,A,"{'completion_tokens': 504, 'prompt_tokens': 508, 'total_tokens': 1012}",1
55,A,A,"{'completion_tokens': 400, 'prompt_tokens': 562, 'total_tokens': 962}",1
56,C,C,"{'completion_tokens': 537, 'prompt_tokens': 443, 'total_tokens': 980}",1
57,B,B,"{'completion_tokens': 1464, 'prompt_tokens': 538, 'total_tokens': 2002}",1
58,C,C,"{'completion_tokens': 663, 'prompt_tokens': 753, 'total_tokens': 1416}",1
59,D,A,"{'completion_tokens': 1347, 'prompt_tokens': 581, 'total_tokens': 1928}",0
60,C,C,"{'completion_tokens': 562, 'prompt_tokens': 538, 'total_tokens': 1100}",1
61,A,A,"{'completion_tokens': 349, 'prompt_tokens': 481, 'total_tokens': 830}",1
62,D,D,"{'completion_tokens': 841, 'prompt_tokens': 611, 'total_tokens': 1452}",1
63,A,A,"{'completion_tokens': 1943, 'prompt_tokens': 682, 'total_tokens': 2625}",1
64,C,A,"{'completion_tokens': 745, 'prompt_tokens': 594, 'total_tokens': 1339}",0
65,B,B,"{'completion_tokens': 619, 'prompt_tokens': 542, 'total_tokens': 1161}",1
66,C,C,"{'completion_tokens': 357, 'prompt_tokens': 564, 'total_tokens': 921}",1
67,B,B,"{'completion_tokens': 261, 'prompt_tokens': 626, 'total_tokens': 887}",1
68,D,D,"{'completion_tokens': 1201, 'prompt_tokens': 605, 'total_tokens': 1806}",1
69,A,A,"{'completion_tokens': 1706, 'prompt_tokens': 596, 'total_tokens': 2302}",1
70,A,A,"{'completion_tokens': 414, 'prompt_tokens': 764, 'total_tokens': 1178}",1
71,A,A,"{'completion_tokens': 1255, 'prompt_tokens': 585, 'total_tokens': 1840}",1
72,C,C,"{'completion_tokens': 2122, 'prompt_tokens': 796, 'total_tokens': 2918}",1
73,B,B,"{'completion_tokens': 534, 'prompt_tokens': 550, 'total_tokens': 1084}",1
74,C,C,"{'completion_tokens': 845, 'prompt_tokens': 643, 'total_tokens': 1488}",1
75,D,A,"{'completion_tokens': 1298, 'prompt_tokens': 503, 'total_tokens': 1801}",0
76,B,B,"{'completion_tokens': 504, 'prompt_tokens': 591, 'total_tokens': 1095}",1
77,C,B,"{'completion_tokens': 836, 'prompt_tokens': 516, 'total_tokens': 1352}",0
78,B,C,"{'completion_tokens': 1002, 'prompt_tokens': 506, 'total_tokens': 1508}",0
79,C,C,"{'completion_tokens': 868, 'prompt_tokens': 647, 'total_tokens': 1515}",1
80,B,B,"{'completion_tokens': 611, 'prompt_tokens': 450, 'total_tokens': 1061}",1
81,D,A,"{'completion_tokens': 1546, 'prompt_tokens': 503, 'total_tokens': 2049}",0
82,C,C,"{'completion_tokens': 291, 'prompt_tokens': 504, 'total_tokens': 795}",1
83,A,A,"{'completion_tokens': 530, 'prompt_tokens': 674, 'total_tokens': 1204}",1
84,C,C,"{'completion_tokens': 1189, 'prompt_tokens': 610, 'total_tokens': 1799}",1
85,B,B,"{'completion_tokens': 572, 'prompt_tokens': 593, 'total_tokens': 1165}",1
86,C,C,"{'completion_tokens': 305, 'prompt_tokens': 556, 'total_tokens': 861}",1
