filename,acc,avg_completion_tokens,avg_prompt_tokens,avg_total_tokens,avg_eval_count,avg_total_duration
Qwen3-0.6B_FT_Lora_MedQA_F16_results_50_ts_2025-07-18 22:52:46.816496.csv,0.28,20.52,284.12,304.64,0.0,0.0
medllama3-v20.Q4_K_M_results_100_ts_2025-07-20 15:11:41.936031.csv,0.55,8.98,311.82,320.8,0.0,0.0
Qwen3-8B_FT_Lora_MedQA.Q4_K_M_results_100_ts_2025-07-19 23:45:59.551095.csv,0.83,1031.85,278.18,1310.03,0.0,0.0
RAG_Qwen3-4B_FT_Lora_MedQA.Q8_0_results_100_ts_2025-07-20 01:30:29.437826.csv,0.7,2367.65,578.18,2945.83,0.0,0.0
medgemma_4b_1_q8_results_100_ts_2025-07-20 15:50:50.540830.csv,0.55,4.01,274.06,278.07,0.0,0.0
Qwen3-14B_FT_Lora_MedQA_500S_Q4_K_M_results_100_ts_2025-07-20 00:12:44.348743.csv,0.67,12.2,278.18,290.38,0.0,0.0
RAG_Qwen3-0.6B_FT_Lora_MedQA_q4_k_m_results_100_ts_2025-07-20 00:28:35.760408.csv,0.27,31.32,578.18,609.5,0.0,0.0
RAG_qwen3:4b_results_100_ts_2025-07-19 23:58:08.925672.csv,0.62,0.0,0.0,0.0,968.15,13473627547.23
RAG_medllama3-v20.Q4_K_M_results_100_ts_2025-07-20 15:13:29.638739.csv,0.62,2.11,629.82,631.93,0.0,0.0
Qwen3-0.6B_FT_Lora_MedQA_q4_k_m_results_100_ts_2025-07-19 17:01:31.244572.csv,0.38,151.08,278.18,429.26,0.0,0.0
Qwen3-0.6B_FT_Lora_MedQA_F16_results_100_ts_2025-07-19 16:47:07.399740.csv,0.23,11.67,278.18,289.85,0.0,0.0
RAG_Qwen3-14B-Q4_K_M_results_100_ts_2025-07-21 00:34:08.681772.csv,0.76,820.83,578.18,1399.01,0.0,0.0
qwen3:8b_results_100_ts_2025-07-19 17:18:09.386691.csv,0.73,0.0,0.0,0.0,888.18,14861976373.88
Qwen3-0.6B_FT_Lora_MedQA_q4_k_m_results_50_ts_2025-07-18 23:00:28.416860.csv,0.18,113.4,284.12,397.52,0.0,0.0
RAG_qwen3:8b_results_100_ts_2025-07-19 23:29:59.603671.csv,0.72,0.0,0.0,0.0,954.39,16016169471.65
RAG_Qwen3-8B_FT_Lora_MedQA.Q4_K_M_results_100_ts_2025-07-20 10:17:55.561152.csv,0.82,1015.98,578.18,1594.16,0.0,0.0
Qwen3-14B_FT_Lora_MedQA_500S_Q4_K_M_results_100_ts_2025-07-20 00:11:04.709514.csv,0.66,12.64,278.18,290.82,0.0,0.0
RAG_medgemma_4b_1_q8_results_100_ts_2025-07-20 15:56:55.821184.csv,0.55,3.63,577.06,580.69,0.0,0.0
RAG_qwen3:0.6b_results_100_ts_2025-07-20 00:23:28.114789.csv,0.33,0.0,0.0,0.0,812.6,7403519163.82
qwen3:4b_results_100_ts_2025-07-19 16:45:48.122596.csv,0.66,0.0,0.0,0.0,934.13,16563050512.58
medgemma_4b_1_q8_results_100_ts_2025-07-20 15:55:02.031196.csv,0.56,3.91,274.06,277.97,0.0,0.0
Qwen3-14B-Q4_K_M_results_100_ts_2025-07-21 00:21:40.014797.csv,0.78,732.78,278.18,1010.96,0.0,0.0
RAG_medgemma_4b_1_q8_results_100_ts_2025-07-20 15:52:47.822576.csv,0.55,3.63,577.06,580.69,0.0,0.0
RAG_Qwen3-14B_FT_Lora_MedQA_500S_Q4_K_M_results_100_ts_2025-07-20 00:19:36.941221.csv,0.66,13.74,578.18,591.92,0.0,0.0
Qwen3-0.6B-Q8_0:latest_results_50_ts_2025-07-18 22:19:40.594438.csv,0.28,780.3,284.12,1064.42,0.0,0.0
Qwen3-4B_FT_Lora_MedQA.Q8_0_results_100_ts_2025-07-19 18:38:26.819716.csv,0.55,67.33,278.18,345.51,0.0,0.0
qwen3:0.6b_results_100_ts_2025-07-19 16:15:40.132150.csv,0.31,0.0,0.0,0.0,696.62,6072379608.68
