Q_idx,pred,real,usage,Correct_Ans
0,B,B,"{'total_duration': 20662096162, 'load_duration': 4511611671, 'prompt_eval_count': 233, 'prompt_eval_duration': 894424628, 'eval_count': 1105, 'eval_duration': 15234810699}",1
1,C,D,"{'total_duration': 21733583731, 'load_duration': 38364016, 'prompt_eval_count': 194, 'prompt_eval_duration': 49957913, 'eval_count': 1592, 'eval_duration': 21623445843}",0
2,B,B,"{'total_duration': 8464145830, 'load_duration': 38641565, 'prompt_eval_count': 393, 'prompt_eval_duration': 78318330, 'eval_count': 623, 'eval_duration': 8317442927}",1
3,B,D,"{'total_duration': 10319787211, 'load_duration': 44240051, 'prompt_eval_count': 387, 'prompt_eval_duration': 66791083, 'eval_count': 763, 'eval_duration': 10195812681}",0
4,B,B,"{'total_duration': 4915917074, 'load_duration': 37636308, 'prompt_eval_count': 268, 'prompt_eval_duration': 51380429, 'eval_count': 350, 'eval_duration': 4813939813}",1
5,<,D,"{'total_duration': 28268481579, 'load_duration': 32956804, 'prompt_eval_count': 203, 'prompt_eval_duration': 54940750, 'eval_count': 2000, 'eval_duration': 28170077673}",0
6,B,C,"{'total_duration': 20557284659, 'load_duration': 44018647, 'prompt_eval_count': 194, 'prompt_eval_duration': 58894864, 'eval_count': 1398, 'eval_duration': 20435066213}",0
7,C,C,"{'total_duration': 357241126167, 'load_duration': 343946748992, 'prompt_eval_count': 282, 'prompt_eval_duration': 4367842240, 'eval_count': 673, 'eval_duration': 8904533268}",1
8,B,B,"{'total_duration': 9574827631, 'load_duration': 236299187, 'prompt_eval_count': 234, 'prompt_eval_duration': 52228562, 'eval_count': 700, 'eval_duration': 9264154640}",1
9,A,A,"{'total_duration': 8500621309, 'load_duration': 33745940, 'prompt_eval_count': 180, 'prompt_eval_duration': 48630342, 'eval_count': 622, 'eval_duration': 8392980126}",1
10,D,D,"{'total_duration': 5038989182, 'load_duration': 39986918, 'prompt_eval_count': 343, 'prompt_eval_duration': 75377972, 'eval_count': 357, 'eval_duration': 4904515323}",1
11,D,D,"{'total_duration': 11324431347, 'load_duration': 32957691, 'prompt_eval_count': 349, 'prompt_eval_duration': 66860347, 'eval_count': 808, 'eval_duration': 11209905916}",1
12,D,B,"{'total_duration': 16163656402, 'load_duration': 34679451, 'prompt_eval_count': 199, 'prompt_eval_duration': 54010462, 'eval_count': 1162, 'eval_duration': 16057574634}",0
13,D,D,"{'total_duration': 13285987479, 'load_duration': 41167556, 'prompt_eval_count': 227, 'prompt_eval_duration': 53277804, 'eval_count': 997, 'eval_duration': 13165586732}",1
14,B,C,"{'total_duration': 7112300805, 'load_duration': 33032629, 'prompt_eval_count': 225, 'prompt_eval_duration': 51157597, 'eval_count': 525, 'eval_duration': 7007054720}",0
15,<,B,"{'total_duration': 28872947085, 'load_duration': 32330169, 'prompt_eval_count': 272, 'prompt_eval_duration': 59542923, 'eval_count': 2000, 'eval_duration': 28768814520}",0
16,D,D,"{'total_duration': 20882399011, 'load_duration': 13709957270, 'prompt_eval_count': 301, 'prompt_eval_duration': 880983209, 'eval_count': 451, 'eval_duration': 6270567731}",1
17,D,D,"{'total_duration': 4839840185, 'load_duration': 36062854, 'prompt_eval_count': 280, 'prompt_eval_duration': 55416007, 'eval_count': 348, 'eval_duration': 4726058757}",1
18,B,B,"{'total_duration': 6699385464, 'load_duration': 32922112, 'prompt_eval_count': 301, 'prompt_eval_duration': 61502481, 'eval_count': 488, 'eval_duration': 6584481460}",1
19,B,D,"{'total_duration': 9059118349, 'load_duration': 33280035, 'prompt_eval_count': 246, 'prompt_eval_duration': 59553825, 'eval_count': 651, 'eval_duration': 8954161105}",0
20,C,C,"{'total_duration': 4916383211, 'load_duration': 46271263, 'prompt_eval_count': 278, 'prompt_eval_duration': 54574420, 'eval_count': 357, 'eval_duration': 4793211687}",1
21,A,A,"{'total_duration': 9538649096, 'load_duration': 38854271, 'prompt_eval_count': 239, 'prompt_eval_duration': 52453925, 'eval_count': 714, 'eval_duration': 9435878494}",1
22,C,C,"{'total_duration': 7702343171, 'load_duration': 41080019, 'prompt_eval_count': 308, 'prompt_eval_duration': 60358929, 'eval_count': 577, 'eval_duration': 7587539319}",1
23,A,D,"{'total_duration': 11238837952, 'load_duration': 37473458, 'prompt_eval_count': 317, 'prompt_eval_duration': 59192305, 'eval_count': 806, 'eval_duration': 11124468891}",0
24,G,A,"{'total_duration': 28233558127, 'load_duration': 34821834, 'prompt_eval_count': 401, 'prompt_eval_duration': 70395500, 'eval_count': 2000, 'eval_duration': 28112407122}",0
25,D,D,"{'total_duration': 8036948499, 'load_duration': 34007554, 'prompt_eval_count': 172, 'prompt_eval_duration': 66063430, 'eval_count': 596, 'eval_duration': 7914759518}",1
26,D,D,"{'total_duration': 7561090260, 'load_duration': 37922911, 'prompt_eval_count': 272, 'prompt_eval_duration': 54801560, 'eval_count': 560, 'eval_duration': 7454897377}",1
27,A,A,"{'total_duration': 5263664996, 'load_duration': 33650431, 'prompt_eval_count': 302, 'prompt_eval_duration': 63246803, 'eval_count': 371, 'eval_duration': 5144786016}",1
28,D,D,"{'total_duration': 12596660604, 'load_duration': 35988640, 'prompt_eval_count': 370, 'prompt_eval_duration': 74736640, 'eval_count': 927, 'eval_duration': 12471934348}",1
29,D,C,"{'total_duration': 9174012426, 'load_duration': 34604626, 'prompt_eval_count': 269, 'prompt_eval_duration': 62587871, 'eval_count': 686, 'eval_duration': 9063113210}",0
30,D,D,"{'total_duration': 19389244552, 'load_duration': 32391327, 'prompt_eval_count': 335, 'prompt_eval_duration': 60340386, 'eval_count': 1430, 'eval_duration': 19275917969}",1
31,D,C,"{'total_duration': 11347641174, 'load_duration': 54059956, 'prompt_eval_count': 192, 'prompt_eval_duration': 60296205, 'eval_count': 812, 'eval_duration': 11220236065}",0
32,C,D,"{'total_duration': 15622222263, 'load_duration': 37650651, 'prompt_eval_count': 309, 'prompt_eval_duration': 58735466, 'eval_count': 1156, 'eval_duration': 15505562637}",0
33,<,B,"{'total_duration': 27840557680, 'load_duration': 35261380, 'prompt_eval_count': 214, 'prompt_eval_duration': 61644093, 'eval_count': 2000, 'eval_duration': 27728544280}",0
34,D,A,"{'total_duration': 9972072805, 'load_duration': 35143019, 'prompt_eval_count': 423, 'prompt_eval_duration': 82000067, 'eval_count': 709, 'eval_duration': 9834082387}",0
35,A,A,"{'total_duration': 7844844861, 'load_duration': 45321296, 'prompt_eval_count': 214, 'prompt_eval_duration': 49442706, 'eval_count': 568, 'eval_duration': 7728728055}",1
36,D,D,"{'total_duration': 7376607134, 'load_duration': 33588416, 'prompt_eval_count': 186, 'prompt_eval_duration': 65035257, 'eval_count': 555, 'eval_duration': 7253625871}",1
37,D,A,"{'total_duration': 11104417981, 'load_duration': 46826074, 'prompt_eval_count': 188, 'prompt_eval_duration': 58211575, 'eval_count': 838, 'eval_duration': 10988242288}",0
38,<,D,"{'total_duration': 28007872104, 'load_duration': 49600034, 'prompt_eval_count': 361, 'prompt_eval_duration': 67620678, 'eval_count': 2000, 'eval_duration': 27867808731}",0
39,A,A,"{'total_duration': 5507124163, 'load_duration': 56681395, 'prompt_eval_count': 222, 'prompt_eval_duration': 56536104, 'eval_count': 410, 'eval_duration': 5376638639}",1
40,C,C,"{'total_duration': 8590002442, 'load_duration': 34739183, 'prompt_eval_count': 355, 'prompt_eval_duration': 70016731, 'eval_count': 609, 'eval_duration': 8462334717}",1
41,C,C,"{'total_duration': 7081121025, 'load_duration': 32775399, 'prompt_eval_count': 471, 'prompt_eval_duration': 69070915, 'eval_count': 505, 'eval_duration': 6967162655}",1
42,A,A,"{'total_duration': 7588878094, 'load_duration': 36744053, 'prompt_eval_count': 356, 'prompt_eval_duration': 72587296, 'eval_count': 558, 'eval_duration': 7462542777}",1
43,C,B,"{'total_duration': 13960782630, 'load_duration': 35795509, 'prompt_eval_count': 149, 'prompt_eval_duration': 51270594, 'eval_count': 1012, 'eval_duration': 13860006425}",0
44,A,A,"{'total_duration': 18802973339, 'load_duration': 38769285, 'prompt_eval_count': 342, 'prompt_eval_duration': 66587939, 'eval_count': 1386, 'eval_duration': 18674712134}",1
