Q_idx:0 	 Pred Answer=B		 Real Answer idx=B
Q_idx:1 	 Pred Answer=D		 Real Answer idx=D
Q_idx:2 	 Pred Answer=A		 Real Answer idx=B
Q_idx:3 	 Pred Answer=B: Encapsulated, gram-negative coccobacilli forming grey-colored colonies on charcoal blood agar.		 Real Answer idx=D
Q_idx:4 	 Pred Answer=B		 Real Answer idx=B
Q_idx:5 	 Pred Answer=D		 Real Answer idx=D
Q_idx:6 	 Pred Answer=C: Common iliac artery aneurysm		 Real Answer idx=C
Q_idx:7 	 Pred Answer=C		 Real Answer idx=C
Q_idx:8 	 Pred Answer=B: Active or recurrent pelvic inflammatory disease (PID)		 Real Answer idx=B
Q_idx:9 	 Pred Answer=A: Silvery plaques on extensor surfaces		 Real Answer idx=A
Q_idx:10 	 Pred Answer=D: It is an HIV-1/HIV2 antibody differentiation immunoassay.		 Real Answer idx=D
Q_idx:11 	 Pred Answer=C		 Real Answer idx=D
Q_idx:12 	 Pred Answer=C		 Real Answer idx=B
Q_idx:13 	 Pred Answer=B: An increase in pulmonary capillary wedge pressure.		 Real Answer idx=D
Q_idx:14 	 Pred Answer=A		 Real Answer idx=C
Q_idx:15 	 Pred Answer=B		 Real Answer idx=B
Q_idx:16 	 Pred Answer=D: IL-4		 Real Answer idx=D
Q_idx:17 	 Pred Answer=D		 Real Answer idx=D
Q_idx:18 	 Pred Answer=A: Indomethacin +/- omeprazole		 Real Answer idx=B
Q_idx:19 	 Pred Answer=B		 Real Answer idx=D
Q_idx:20 	 Pred Answer=D		 Real Answer idx=C
Q_idx:21 	 Pred Answer=B		 Real Answer idx=A
Q_idx:22 	 Pred Answer=D		 Real Answer idx=C
Q_idx:23 	 Pred Answer=A: Streptococcus pneumoniae		 Real Answer idx=D
Q_idx:24 	 Pred Answer=A		 Real Answer idx=A
Q_idx:25 	 Pred Answer=D: Respiratory burst		 Real Answer idx=D
Q_idx:26 	 Pred Answer=D		 Real Answer idx=D
Q_idx:27 	 Pred Answer=A		 Real Answer idx=A
Q_idx:28 	 Pred Answer=C		 Real Answer idx=D
Q_idx:29 	 Pred Answer=A: Foot abduction brace		 Real Answer idx=C
