Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'total_duration': 49825916636, 'load_duration': 39162318584, 'prompt_eval_count': 533, 'prompt_eval_duration': 771602539, 'eval_count': 1176, 'eval_duration': 9870234047}",0
1,B,D,"{'total_duration': 3473140525, 'load_duration': 33422878, 'prompt_eval_count': 494, 'prompt_eval_duration': 25662654, 'eval_count': 406, 'eval_duration': 3394139032}",0
2,B,B,"{'total_duration': 8880158630, 'load_duration': 34027762, 'prompt_eval_count': 693, 'prompt_eval_duration': 59900065, 'eval_count': 1032, 'eval_duration': 8761805089}",1
3,D,D,"{'total_duration': 6822196018, 'load_duration': 33882692, 'prompt_eval_count': 687, 'prompt_eval_duration': 60955310, 'eval_count': 795, 'eval_duration': 6702593902}",1
4,B,B,"{'total_duration': 2157595233, 'load_duration': 44329065, 'prompt_eval_count': 568, 'prompt_eval_duration': 52200128, 'eval_count': 244, 'eval_duration': 2042793617}",1
5,D,D,"{'total_duration': 7174393440, 'load_duration': 42552203, 'prompt_eval_count': 503, 'prompt_eval_duration': 22402827, 'eval_count': 837, 'eval_duration': 7087205012}",1
6,A,C,"{'total_duration': 5141683658, 'load_duration': 42355850, 'prompt_eval_count': 494, 'prompt_eval_duration': 29683312, 'eval_count': 596, 'eval_duration': 5045897089}",0
7,B,C,"{'total_duration': 5835799374, 'load_duration': 36715494, 'prompt_eval_count': 582, 'prompt_eval_duration': 62131881, 'eval_count': 684, 'eval_duration': 5718600599}",0
8,A,B,"{'total_duration': 4853348042, 'load_duration': 31359045, 'prompt_eval_count': 534, 'prompt_eval_duration': 32534202, 'eval_count': 568, 'eval_duration': 4772247763}",0
9,A,A,"{'total_duration': 6216202866, 'load_duration': 31910442, 'prompt_eval_count': 480, 'prompt_eval_duration': 30052675, 'eval_count': 727, 'eval_duration': 6141137500}",1
10,D,D,"{'total_duration': 2204156438, 'load_duration': 33270722, 'prompt_eval_count': 643, 'prompt_eval_duration': 59728528, 'eval_count': 249, 'eval_duration': 2094130078}",1
11,C,D,"{'total_duration': 7232138170, 'load_duration': 35639828, 'prompt_eval_count': 649, 'prompt_eval_duration': 63223881, 'eval_count': 845, 'eval_duration': 7118179591}",0
12,C,B,"{'total_duration': 5946697241, 'load_duration': 35952843, 'prompt_eval_count': 499, 'prompt_eval_duration': 20916938, 'eval_count': 696, 'eval_duration': 5877000596}",0
13,D,D,"{'total_duration': 4576616428, 'load_duration': 46835289, 'prompt_eval_count': 527, 'prompt_eval_duration': 24811553, 'eval_count': 533, 'eval_duration': 4489807171}",1
14,A,C,"{'total_duration': 4362835579, 'load_duration': 43215580, 'prompt_eval_count': 525, 'prompt_eval_duration': 39667771, 'eval_count': 513, 'eval_duration': 4256710688}",0
15,C,B,"{'total_duration': 12267260911, 'load_duration': 40148397, 'prompt_eval_count': 572, 'prompt_eval_duration': 50967723, 'eval_count': 1432, 'eval_duration': 12163203825}",0
16,D,D,"{'total_duration': 2425090016, 'load_duration': 36058122, 'prompt_eval_count': 601, 'prompt_eval_duration': 52314257, 'eval_count': 277, 'eval_duration': 2314773808}",1
17,D,D,"{'total_duration': 2423624067, 'load_duration': 44618266, 'prompt_eval_count': 580, 'prompt_eval_duration': 51929205, 'eval_count': 275, 'eval_duration': 2304167198}",1
18,A,B,"{'total_duration': 7350349359, 'load_duration': 34013199, 'prompt_eval_count': 601, 'prompt_eval_duration': 55114347, 'eval_count': 852, 'eval_duration': 7237593850}",0
19,B,D,"{'total_duration': 2423077400, 'load_duration': 30958349, 'prompt_eval_count': 546, 'prompt_eval_duration': 33077256, 'eval_count': 282, 'eval_duration': 2344595227}",0
20,D,C,"{'total_duration': 2874157564, 'load_duration': 35255619, 'prompt_eval_count': 578, 'prompt_eval_duration': 49854055, 'eval_count': 334, 'eval_duration': 2776182441}",0
21,B,A,"{'total_duration': 4761919913, 'load_duration': 31301636, 'prompt_eval_count': 539, 'prompt_eval_duration': 26960634, 'eval_count': 550, 'eval_duration': 4681787800}",0
22,B,C,"{'total_duration': 3772971350, 'load_duration': 37575855, 'prompt_eval_count': 608, 'prompt_eval_duration': 52023178, 'eval_count': 434, 'eval_duration': 3661961204}",0
23,D,D,"{'total_duration': 11176836402, 'load_duration': 42980692, 'prompt_eval_count': 617, 'prompt_eval_duration': 56534330, 'eval_count': 1299, 'eval_duration': 11053569892}",1
24,D,A,"{'total_duration': 3274562313, 'load_duration': 35455285, 'prompt_eval_count': 701, 'prompt_eval_duration': 55402193, 'eval_count': 377, 'eval_duration': 3159618114}",0
25,C,D,"{'total_duration': 5559986046, 'load_duration': 31398580, 'prompt_eval_count': 472, 'prompt_eval_duration': 27573519, 'eval_count': 659, 'eval_duration': 5479550435}",0
26,D,D,"{'total_duration': 5831624931, 'load_duration': 33010599, 'prompt_eval_count': 572, 'prompt_eval_duration': 55219001, 'eval_count': 685, 'eval_duration': 5722866237}",1
27,A,A,"{'total_duration': 5771801840, 'load_duration': 33426141, 'prompt_eval_count': 602, 'prompt_eval_duration': 51552515, 'eval_count': 673, 'eval_duration': 5672488359}",1
28,D,D,"{'total_duration': 6009898602, 'load_duration': 36243384, 'prompt_eval_count': 670, 'prompt_eval_duration': 58917814, 'eval_count': 699, 'eval_duration': 5889706001}",1
29,A,C,"{'total_duration': 2499734969, 'load_duration': 37337191, 'prompt_eval_count': 569, 'prompt_eval_duration': 58563689, 'eval_count': 291, 'eval_duration': 2382968813}",0
30,B,D,"{'total_duration': 3928595027, 'load_duration': 30807375, 'prompt_eval_count': 635, 'prompt_eval_duration': 55524951, 'eval_count': 456, 'eval_duration': 3820509999}",0
31,D,C,"{'total_duration': 5970697025, 'load_duration': 31249673, 'prompt_eval_count': 492, 'prompt_eval_duration': 21221097, 'eval_count': 708, 'eval_duration': 5895982572}",0
32,C,D,"{'total_duration': 4533322892, 'load_duration': 43862733, 'prompt_eval_count': 609, 'prompt_eval_duration': 59372091, 'eval_count': 529, 'eval_duration': 4406924616}",0
33,D,B,"{'total_duration': 7216573947, 'load_duration': 35784073, 'prompt_eval_count': 514, 'prompt_eval_duration': 31259541, 'eval_count': 846, 'eval_duration': 7135896742}",0
34,*,A,"{'total_duration': 17434791837, 'load_duration': 33137983, 'prompt_eval_count': 723, 'prompt_eval_duration': 66009591, 'eval_count': 2000, 'eval_duration': 17320649226}",0
35,C,A,"{'total_duration': 9452162434, 'load_duration': 33735842, 'prompt_eval_count': 514, 'prompt_eval_duration': 26157145, 'eval_count': 1107, 'eval_duration': 9377278497}",0
36,D,D,"{'total_duration': 3680153194, 'load_duration': 47075447, 'prompt_eval_count': 486, 'prompt_eval_duration': 30660364, 'eval_count': 428, 'eval_duration': 3577228140}",1
37,D,A,"{'total_duration': 3068863600, 'load_duration': 35892615, 'prompt_eval_count': 488, 'prompt_eval_duration': 29475840, 'eval_count': 355, 'eval_duration': 2982315121}",0
38,D,D,"{'total_duration': 5585240702, 'load_duration': 31732284, 'prompt_eval_count': 661, 'prompt_eval_duration': 62856649, 'eval_count': 655, 'eval_duration': 5469206368}",1
39,A,A,"{'total_duration': 6160525635, 'load_duration': 37409660, 'prompt_eval_count': 522, 'prompt_eval_duration': 23983567, 'eval_count': 718, 'eval_duration': 6076606471}",1
40,B,C,"{'total_duration': 2917129142, 'load_duration': 41940553, 'prompt_eval_count': 655, 'prompt_eval_duration': 63815083, 'eval_count': 329, 'eval_duration': 2783844397}",0
41,C,C,"{'total_duration': 2886706551, 'load_duration': 32741671, 'prompt_eval_count': 771, 'prompt_eval_duration': 74026662, 'eval_count': 324, 'eval_duration': 2755098967}",1
42,B,A,"{'total_duration': 3374251157, 'load_duration': 32331888, 'prompt_eval_count': 656, 'prompt_eval_duration': 65717031, 'eval_count': 388, 'eval_duration': 3260993657}",0
43,C,B,"{'total_duration': 10735838334, 'load_duration': 33612953, 'prompt_eval_count': 449, 'prompt_eval_duration': 30189896, 'eval_count': 1244, 'eval_duration': 10652630173}",0
44,C,A,"{'total_duration': 9712496678, 'load_duration': 39154400, 'prompt_eval_count': 642, 'prompt_eval_duration': 62198184, 'eval_count': 1121, 'eval_duration': 9585702800}",0
45,\,D,"{'total_duration': 17216700635, 'load_duration': 33918319, 'prompt_eval_count': 588, 'prompt_eval_duration': 57762836, 'eval_count': 2000, 'eval_duration': 17098777419}",0
46,<,C,"{'total_duration': 17247837187, 'load_duration': 37564973, 'prompt_eval_count': 561, 'prompt_eval_duration': 60389930, 'eval_count': 2000, 'eval_duration': 17122987000}",0
47,A,A,"{'total_duration': 4334814134, 'load_duration': 42732775, 'prompt_eval_count': 618, 'prompt_eval_duration': 59550431, 'eval_count': 503, 'eval_duration': 4214722864}",1
48,C,B,"{'total_duration': 4811559162, 'load_duration': 37020842, 'prompt_eval_count': 565, 'prompt_eval_duration': 63061068, 'eval_count': 562, 'eval_duration': 4695384232}",0
49,C,C,"{'total_duration': 6332583095, 'load_duration': 86408359, 'prompt_eval_count': 567, 'prompt_eval_duration': 54676249, 'eval_count': 740, 'eval_duration': 6176911971}",1
50,D,D,"{'total_duration': 2162071444, 'load_duration': 34068514, 'prompt_eval_count': 442, 'prompt_eval_duration': 32857134, 'eval_count': 247, 'eval_duration': 2071175169}",1
51,A,A,"{'total_duration': 7126848235, 'load_duration': 32931229, 'prompt_eval_count': 620, 'prompt_eval_duration': 70063263, 'eval_count': 818, 'eval_duration': 7007823981}",1
52,D,D,"{'total_duration': 6793910666, 'load_duration': 52136103, 'prompt_eval_count': 497, 'prompt_eval_duration': 24024274, 'eval_count': 773, 'eval_duration': 6693090132}",1
53,C,C,"{'total_duration': 5392033893, 'load_duration': 43058249, 'prompt_eval_count': 474, 'prompt_eval_duration': 29067619, 'eval_count': 631, 'eval_duration': 5295926208}",1
54,A,A,"{'total_duration': 4044745737, 'load_duration': 33391086, 'prompt_eval_count': 508, 'prompt_eval_duration': 28453374, 'eval_count': 474, 'eval_duration': 3959949884}",1
55,B,A,"{'total_duration': 5286977964, 'load_duration': 32590211, 'prompt_eval_count': 562, 'prompt_eval_duration': 52573983, 'eval_count': 623, 'eval_duration': 5188878376}",0
56,B,C,"{'total_duration': 5285575981, 'load_duration': 44300713, 'prompt_eval_count': 443, 'prompt_eval_duration': 25924239, 'eval_count': 618, 'eval_duration': 5189787414}",0
57,B,B,"{'total_duration': 6907422794, 'load_duration': 32738868, 'prompt_eval_count': 538, 'prompt_eval_duration': 24953421, 'eval_count': 813, 'eval_duration': 6835217300}",1
58,<,C,"{'total_duration': 17658802503, 'load_duration': 32808154, 'prompt_eval_count': 753, 'prompt_eval_duration': 57079631, 'eval_count': 2000, 'eval_duration': 17548034365}",0
59,C,A,"{'total_duration': 5570222117, 'load_duration': 106938822, 'prompt_eval_count': 581, 'prompt_eval_duration': 68903863, 'eval_count': 643, 'eval_duration': 5364950869}",0
60,A,C,"{'total_duration': 9707146286, 'load_duration': 42374725, 'prompt_eval_count': 538, 'prompt_eval_duration': 27711010, 'eval_count': 1139, 'eval_duration': 9615851870}",0
61,C,A,"{'total_duration': 3244375992, 'load_duration': 31449283, 'prompt_eval_count': 481, 'prompt_eval_duration': 25874755, 'eval_count': 383, 'eval_duration': 3162362740}",0
62,<,D,"{'total_duration': 17298311926, 'load_duration': 31323866, 'prompt_eval_count': 611, 'prompt_eval_duration': 57586427, 'eval_count': 2000, 'eval_duration': 17185914386}",0
