Q_idx,q_subject,pred,real,usage,Correct_Ans
8932,49-year-old,B,D,"{'completion_tokens': 10, 'prompt_tokens': 251, 'total_tokens': 261}",0
8449,3-year-old,B,E,"{'completion_tokens': 13, 'prompt_tokens': 270, 'total_tokens': 283}",0
714,17-year-old,B,A,"{'completion_tokens': 18, 'prompt_tokens': 319, 'total_tokens': 337}",0
7599,33-year-old,E,E,"{'completion_tokens': 12, 'prompt_tokens': 327, 'total_tokens': 339}",1
9679,9-year-old,A,B,"{'completion_tokens': 21, 'prompt_tokens': 274, 'total_tokens': 295}",0
4899,8-year-old,B,B,"{'completion_tokens': 16, 'prompt_tokens': 248, 'total_tokens': 264}",1
1173,24-year-old,A,E,"{'completion_tokens': 19, 'prompt_tokens': 281, 'total_tokens': 300}",0
2444,23-year-old,B,C,"{'completion_tokens': 16, 'prompt_tokens': 269, 'total_tokens': 285}",0
3642,37-year-old,EResolved,E,"{'completion_tokens': 13, 'prompt_tokens': 198, 'total_tokens': 211}",0
6168,60-year-old,B,D,"{'completion_tokens': 28, 'prompt_tokens': 286, 'total_tokens': 314}",0
318,7-month-old,B,A,"{'completion_tokens': 22, 'prompt_tokens': 344, 'total_tokens': 366}",0
4211,87-year-old,E,B,"{'completion_tokens': 20, 'prompt_tokens': 202, 'total_tokens': 222}",0
2055,82-year-old,A,D,"{'completion_tokens': 19, 'prompt_tokens': 272, 'total_tokens': 291}",0
9058,38-year-old,A,C,"{'completion_tokens': 22, 'prompt_tokens': 314, 'total_tokens': 336}",0
5132,72-year-old,E,E,"{'completion_tokens': 19, 'prompt_tokens': 274, 'total_tokens': 293}",1
6425,57-year-old,D,A,"{'completion_tokens': 10, 'prompt_tokens': 291, 'total_tokens': 301}",0
8010,27-year-old,A,E,"{'completion_tokens': 19, 'prompt_tokens': 308, 'total_tokens': 327}",0
3448,17-year-old,$$\boxed{\text{E},B,"{'completion_tokens': 21, 'prompt_tokens': 216, 'total_tokens': 237}",0
992,17-year-old,A,D,"{'completion_tokens': 13, 'prompt_tokens': 205, 'total_tokens': 218}",0
9118,4-year-old,**,C,"{'completion_tokens': 18, 'prompt_tokens': 182, 'total_tokens': 200}",0
236,49-year-old,B,B,"{'completion_tokens': 17, 'prompt_tokens': 247, 'total_tokens': 264}",1
2061,58-year-old,D,D,"{'completion_tokens': 15, 'prompt_tokens': 232, 'total_tokens': 247}",1
1834,12-year-old,B,A,"{'completion_tokens': 19, 'prompt_tokens': 263, 'total_tokens': 282}",0
4660,72-year-old,B,D,"{'completion_tokens': 19, 'prompt_tokens': 291, 'total_tokens': 310}",0
5574,64-year-old,D,B,"{'completion_tokens': 20, 'prompt_tokens': 254, 'total_tokens': 274}",0
1006,71-year-old,D,D,"{'completion_tokens': 30, 'prompt_tokens': 478, 'total_tokens': 508}",1
1229,30-year-old,A,A,"{'completion_tokens': 11, 'prompt_tokens': 324, 'total_tokens': 335}",1
6714,42-year-old,E,D,"{'completion_tokens': 18, 'prompt_tokens': 265, 'total_tokens': 283}",0
5901,young,\boxed{B},B,"{'completion_tokens': 10, 'prompt_tokens': 213, 'total_tokens': 223}",0
179,34-year-old,D,D,"{'completion_tokens': 139, 'prompt_tokens': 215, 'total_tokens': 354}",0
6944,46-year-old,B,C,"{'completion_tokens': 10, 'prompt_tokens': 357, 'total_tokens': 367}",0
3949,48-year-old,C,C,"{'completion_tokens': 14, 'prompt_tokens': 435, 'total_tokens': 449}",1
4247,33-year-old,**,B,"{'completion_tokens': 17, 'prompt_tokens': 213, 'total_tokens': 230}",0
1570,9-year-old,B,A,"{'completion_tokens': 14, 'prompt_tokens': 385, 'total_tokens': 399}",0
1126,16-year-old,B,B,"{'completion_tokens': 14, 'prompt_tokens': 270, 'total_tokens': 284}",1
4140,36-year-old,B,A,"{'completion_tokens': 15, 'prompt_tokens': 261, 'total_tokens': 276}",0
337,23-year-old,E,D,"{'completion_tokens': 16, 'prompt_tokens': 269, 'total_tokens': 285}",0
7820,hours,A,A,"{'completion_tokens': 15, 'prompt_tokens': 259, 'total_tokens': 274}",1
3647,26-year-old,**,C,"{'completion_tokens': 15, 'prompt_tokens': 285, 'total_tokens': 300}",0
8750,62-year-old,E,E,"{'completion_tokens': 16, 'prompt_tokens': 402, 'total_tokens': 418}",1
3899,43-year-old,E,C,"{'completion_tokens': 18, 'prompt_tokens': 349, 'total_tokens': 367}",0
6050,9-year-old,,B,"{'completion_tokens': 8, 'prompt_tokens': 178, 'total_tokens': 186}",0
1666,27-year-old,E,D,"{'completion_tokens': 19, 'prompt_tokens': 416, 'total_tokens': 435}",0
8425,37-year-old,B,D,"{'completion_tokens': 14, 'prompt_tokens': 355, 'total_tokens': 369}",0
2450,53-year-old,E,D,"{'completion_tokens': 10, 'prompt_tokens': 234, 'total_tokens': 244}",0
5467,36-year-old,E,B,"{'completion_tokens': 99, 'prompt_tokens': 204, 'total_tokens': 303}",0
8311,40-year-old,E,C,"{'completion_tokens': 9, 'prompt_tokens': 235, 'total_tokens': 244}",0
5154,55-year-old,B,B,"{'completion_tokens': 14, 'prompt_tokens': 408, 'total_tokens': 422}",1
5162,5-year-old,B,B,"{'completion_tokens': 18, 'prompt_tokens': 309, 'total_tokens': 327}",1
6226,10-year-old,E,E,"{'completion_tokens': 24, 'prompt_tokens': 269, 'total_tokens': 293}",1
