Q_idx,pred,real,usage,Correct_Ans
0,C,B,"{'completion_tokens': 8, 'prompt_tokens': 233, 'total_tokens': 241}",0
1,A,D,"{'completion_tokens': 9, 'prompt_tokens': 194, 'total_tokens': 203}",0
2,B,B,"{'completion_tokens': 9, 'prompt_tokens': 393, 'total_tokens': 402}",1
3,B,D,"{'completion_tokens': 790, 'prompt_tokens': 387, 'total_tokens': 1177}",0
4,B,B,"{'completion_tokens': 15, 'prompt_tokens': 268, 'total_tokens': 283}",1
5,A,D,"{'completion_tokens': 14, 'prompt_tokens': 203, 'total_tokens': 217}",0
6,A,C,"{'completion_tokens': 9, 'prompt_tokens': 194, 'total_tokens': 203}",0
7,C,C,"{'completion_tokens': 651, 'prompt_tokens': 282, 'total_tokens': 933}",1
8,A,B,"{'completion_tokens': 9, 'prompt_tokens': 234, 'total_tokens': 243}",0
9,B,A,"{'completion_tokens': 9, 'prompt_tokens': 180, 'total_tokens': 189}",0
10,A,D,"{'completion_tokens': 9, 'prompt_tokens': 343, 'total_tokens': 352}",0
11,C,D,"{'completion_tokens': 9, 'prompt_tokens': 349, 'total_tokens': 358}",0
12,D,B,"{'completion_tokens': 9, 'prompt_tokens': 199, 'total_tokens': 208}",0
13,B,D,"{'completion_tokens': 18, 'prompt_tokens': 227, 'total_tokens': 245}",0
14,D,C,"{'completion_tokens': 1271, 'prompt_tokens': 225, 'total_tokens': 1496}",0
15,:,B,"{'completion_tokens': 14, 'prompt_tokens': 272, 'total_tokens': 286}",0
16,C,D,"{'completion_tokens': 8, 'prompt_tokens': 301, 'total_tokens': 309}",0
17,D,D,"{'completion_tokens': 11, 'prompt_tokens': 280, 'total_tokens': 291}",1
18,A,B,"{'completion_tokens': 8, 'prompt_tokens': 301, 'total_tokens': 309}",0
19,A,D,"{'completion_tokens': 9, 'prompt_tokens': 246, 'total_tokens': 255}",0
20,C,C,"{'completion_tokens': 8, 'prompt_tokens': 278, 'total_tokens': 286}",1
21,A,A,"{'completion_tokens': 658, 'prompt_tokens': 239, 'total_tokens': 897}",1
22,D,C,"{'completion_tokens': 9, 'prompt_tokens': 308, 'total_tokens': 317}",0
23,A,D,"{'completion_tokens': 8, 'prompt_tokens': 317, 'total_tokens': 325}",0
24,A,A,"{'completion_tokens': 8, 'prompt_tokens': 401, 'total_tokens': 409}",1
