Q_idx,pred,real,usage,Correct_Ans
0,D,B,"{'total_duration': 8861065297, 'load_duration': 38146773, 'prompt_eval_count': 233, 'prompt_eval_duration': 25467957, 'eval_count': 979, 'eval_duration': 8785510477}",0
1,B,D,"{'total_duration': 2907751157, 'load_duration': 53789107, 'prompt_eval_count': 194, 'prompt_eval_duration': 21601182, 'eval_count': 337, 'eval_duration': 2811121488}",0
2,A,B,"{'total_duration': 3299136936, 'load_duration': 31802251, 'prompt_eval_count': 393, 'prompt_eval_duration': 21907855, 'eval_count': 391, 'eval_duration': 3224450255}",0
3,D,D,"{'total_duration': 2977380247, 'load_duration': 32026205, 'prompt_eval_count': 387, 'prompt_eval_duration': 21439796, 'eval_count': 350, 'eval_duration': 2903386894}",1
4,B,B,"{'total_duration': 3258779851, 'load_duration': 42209336, 'prompt_eval_count': 268, 'prompt_eval_duration': 22011361, 'eval_count': 373, 'eval_duration': 3173256415}",1
5,D,D,"{'total_duration': 3235503164, 'load_duration': 33226908, 'prompt_eval_count': 203, 'prompt_eval_duration': 26635441, 'eval_count': 360, 'eval_duration': 3163982648}",1
6,A,C,"{'total_duration': 6539480103, 'load_duration': 34912664, 'prompt_eval_count': 194, 'prompt_eval_duration': 19760257, 'eval_count': 738, 'eval_duration': 6463930698}",0
7,C,C,"{'total_duration': 3040164492, 'load_duration': 42762428, 'prompt_eval_count': 282, 'prompt_eval_duration': 31929339, 'eval_count': 354, 'eval_duration': 2944957873}",1
8,A,B,"{'total_duration': 7443476781, 'load_duration': 41039633, 'prompt_eval_count': 234, 'prompt_eval_duration': 31179450, 'eval_count': 884, 'eval_duration': 7353993522}",0
9,A,A,"{'total_duration': 2960929762, 'load_duration': 30797768, 'prompt_eval_count': 180, 'prompt_eval_duration': 21222459, 'eval_count': 343, 'eval_duration': 2897964874}",1
10,C,D,"{'total_duration': 7027681180, 'load_duration': 35756630, 'prompt_eval_count': 343, 'prompt_eval_duration': 28018011, 'eval_count': 782, 'eval_duration': 6944380695}",0
11,D,D,"{'total_duration': 4997218913, 'load_duration': 45684404, 'prompt_eval_count': 349, 'prompt_eval_duration': 23014166, 'eval_count': 570, 'eval_duration': 4911312325}",1
12,C,B,"{'total_duration': 2730773088, 'load_duration': 32500882, 'prompt_eval_count': 199, 'prompt_eval_duration': 18746902, 'eval_count': 312, 'eval_duration': 2666261935}",0
13,D,D,"{'total_duration': 3963147593, 'load_duration': 33231813, 'prompt_eval_count': 227, 'prompt_eval_duration': 29009864, 'eval_count': 466, 'eval_duration': 3879241639}",1
14,A,C,"{'total_duration': 3779169726, 'load_duration': 41936403, 'prompt_eval_count': 225, 'prompt_eval_duration': 21702718, 'eval_count': 438, 'eval_duration': 3694585899}",0
15,B,B,"{'total_duration': 9754767658, 'load_duration': 35003749, 'prompt_eval_count': 272, 'prompt_eval_duration': 22441888, 'eval_count': 1143, 'eval_duration': 9678210734}",1
16,D,D,"{'total_duration': 3169017111, 'load_duration': 48203537, 'prompt_eval_count': 301, 'prompt_eval_duration': 35497980, 'eval_count': 350, 'eval_duration': 3062477549}",1
17,D,D,"{'total_duration': 2358980610, 'load_duration': 34710712, 'prompt_eval_count': 280, 'prompt_eval_duration': 17665478, 'eval_count': 259, 'eval_duration': 2293272839}",1
18,A,B,"{'total_duration': 6523561449, 'load_duration': 31180222, 'prompt_eval_count': 301, 'prompt_eval_duration': 24817357, 'eval_count': 741, 'eval_duration': 6456720194}",0
19,B,D,"{'total_duration': 3752229190, 'load_duration': 41825656, 'prompt_eval_count': 246, 'prompt_eval_duration': 18556053, 'eval_count': 423, 'eval_duration': 3680878108}",0
20,D,C,"{'total_duration': 5060612122, 'load_duration': 33210830, 'prompt_eval_count': 278, 'prompt_eval_duration': 18382798, 'eval_count': 599, 'eval_duration': 4987737772}",0
21,B,A,"{'total_duration': 3646269625, 'load_duration': 34250881, 'prompt_eval_count': 239, 'prompt_eval_duration': 17953261, 'eval_count': 434, 'eval_duration': 3570209571}",0
22,B,C,"{'total_duration': 2698625254, 'load_duration': 47625971, 'prompt_eval_count': 308, 'prompt_eval_duration': 29611913, 'eval_count': 309, 'eval_duration': 2597262964}",0
23,A,D,"{'total_duration': 14350650873, 'load_duration': 41235663, 'prompt_eval_count': 317, 'prompt_eval_duration': 21412875, 'eval_count': 1658, 'eval_duration': 14267045223}",0
