Q_idx,q_subject,pred,real,Correct_Ans
8932,49-year-old,A,D,0
8449,3-year-old,E,E,1
714,17-year-old,D,A,0
7599,33-year-old,E,E,1
9679,9-year-old,A,B,0
4899,8-year-old,B,B,1
1173,24-year-old,E,E,1
2444,23-year-old,C,C,1
3642,37-year-old,E,E,1
6168,60-year-old,E,D,0
318,7-month-old,B,A,0
4211,87-year-old,B: Compression of renal cortex and medulla,B,1
2055,82-year-old,"""E""",D,0
9058,38-year-old,C,C,1
5132,72-year-old,E,E,1
6425,57-year-old,E,A,0
8010,27-year-old,A,E,0
3448,17-year-old,B,B,1
992,17-year-old,A,D,0
9118,4-year-old,C,C,1
236,49-year-old,B,B,1
2061,58-year-old,D,D,1
1834,12-year-old,A,A,1
4660,72-year-old,D,D,1
5574,64-year-old,A,B,0
1006,71-year-old,C,D,0
1229,30-year-old,A,A,1
6714,42-year-old,D,D,1
5901,young,A,B,0
179,34-year-old,A,D,0
6944,46-year-old,B,C,0
3949,48-year-old,E,C,0
4247,33-year-old,B,B,1
1570,9-year-old,A,A,1
1126,16-year-old,B,B,1
4140,36-year-old,A,A,1
337,23-year-old,B,D,0
7820,hours,A,A,1
3647,26-year-old,E,C,0
8750,62-year-old,B: Improve the hypoxemia,E,0
3899,43-year-old,B,C,0
6050,9-year-old,B,B,1
1666,27-year-old,C,D,0
8425,37-year-old,D,D,1
2450,53-year-old,E,D,0
5467,36-year-old,B,B,1
8311,40-year-old,B,C,0
5154,55-year-old,E,B,0
5162,5-year-old,A,B,0
6226,10-year-old,E,E,1
