Q_idx,pred,real,usage,Correct_Ans
0,D,B,"{'completion_tokens': 10, 'prompt_tokens': 233, 'total_tokens': 243}",0
1,D,D,"{'completion_tokens': 15, 'prompt_tokens': 194, 'total_tokens': 209}",1
2,C,B,"{'completion_tokens': 9, 'prompt_tokens': 393, 'total_tokens': 402}",0
3,D,D,"{'completion_tokens': 9, 'prompt_tokens': 387, 'total_tokens': 396}",1
4,A,B,"{'completion_tokens': 18, 'prompt_tokens': 268, 'total_tokens': 286}",0
5,D,D,"{'completion_tokens': 497, 'prompt_tokens': 203, 'total_tokens': 700}",1
6,B,C,"{'completion_tokens': 17, 'prompt_tokens': 194, 'total_tokens': 211}",0
7,A,C,"{'completion_tokens': 12, 'prompt_tokens': 282, 'total_tokens': 294}",0
8,C,B,"{'completion_tokens': 935, 'prompt_tokens': 234, 'total_tokens': 1169}",0
9,A,A,"{'completion_tokens': 637, 'prompt_tokens': 180, 'total_tokens': 817}",1
10,D,D,"{'completion_tokens': 25, 'prompt_tokens': 343, 'total_tokens': 368}",1
11,D,D,"{'completion_tokens': 15, 'prompt_tokens': 349, 'total_tokens': 364}",1
12,V,B,"{'completion_tokens': 13, 'prompt_tokens': 199, 'total_tokens': 212}",0
13,D,D,"{'completion_tokens': 18, 'prompt_tokens': 227, 'total_tokens': 245}",1
14,C,C,"{'completion_tokens': 12, 'prompt_tokens': 225, 'total_tokens': 237}",1
15,G,B,"{'completion_tokens': 13, 'prompt_tokens': 272, 'total_tokens': 285}",0
16,D,D,"{'completion_tokens': 13, 'prompt_tokens': 301, 'total_tokens': 314}",1
17,D,D,"{'completion_tokens': 261, 'prompt_tokens': 280, 'total_tokens': 541}",1
18,P,B,"{'completion_tokens': 13, 'prompt_tokens': 301, 'total_tokens': 314}",0
19,B,D,"{'completion_tokens': 249, 'prompt_tokens': 246, 'total_tokens': 495}",0
20,C,C,"{'completion_tokens': 13, 'prompt_tokens': 278, 'total_tokens': 291}",1
21,B,A,"{'completion_tokens': 18, 'prompt_tokens': 239, 'total_tokens': 257}",0
22,B,C,"{'completion_tokens': 492, 'prompt_tokens': 308, 'total_tokens': 800}",0
23,A,D,"{'completion_tokens': 883, 'prompt_tokens': 317, 'total_tokens': 1200}",0
24,B,A,"{'completion_tokens': 9, 'prompt_tokens': 401, 'total_tokens': 410}",0
25,A,D,"{'completion_tokens': 15, 'prompt_tokens': 172, 'total_tokens': 187}",0
26,D,D,"{'completion_tokens': 9, 'prompt_tokens': 272, 'total_tokens': 281}",1
27,D,A,"{'completion_tokens': 28, 'prompt_tokens': 302, 'total_tokens': 330}",0
28,B,D,"{'completion_tokens': 9, 'prompt_tokens': 370, 'total_tokens': 379}",0
29,B,C,"{'completion_tokens': 9, 'prompt_tokens': 269, 'total_tokens': 278}",0
30,D,D,"{'completion_tokens': 17, 'prompt_tokens': 335, 'total_tokens': 352}",1
31,D,C,"{'completion_tokens': 17, 'prompt_tokens': 192, 'total_tokens': 209}",0
32,C,D,"{'completion_tokens': 13, 'prompt_tokens': 309, 'total_tokens': 322}",0
33,<,B,"{'completion_tokens': 293, 'prompt_tokens': 214, 'total_tokens': 507}",0
34,B,A,"{'completion_tokens': 1007, 'prompt_tokens': 423, 'total_tokens': 1430}",0
35,A,A,"{'completion_tokens': 299, 'prompt_tokens': 214, 'total_tokens': 513}",1
36,D,D,"{'completion_tokens': 22, 'prompt_tokens': 186, 'total_tokens': 208}",1
37,D,A,"{'completion_tokens': 13, 'prompt_tokens': 188, 'total_tokens': 201}",0
38,D,D,"{'completion_tokens': 15, 'prompt_tokens': 361, 'total_tokens': 376}",1
39,D,A,"{'completion_tokens': 25, 'prompt_tokens': 222, 'total_tokens': 247}",0
