Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 24, 'prompt_tokens': 533, 'total_tokens': 557}",0
1,A,D,"{'completion_tokens': 16, 'prompt_tokens': 494, 'total_tokens': 510}",0
2,A,B,"{'completion_tokens': 7, 'prompt_tokens': 693, 'total_tokens': 700}",0
3,A,D,"{'completion_tokens': 9, 'prompt_tokens': 687, 'total_tokens': 696}",0
4,A,B,"{'completion_tokens': 18, 'prompt_tokens': 568, 'total_tokens': 586}",0
5,A,D,"{'completion_tokens': 11, 'prompt_tokens': 503, 'total_tokens': 514}",0
6,A,C,"{'completion_tokens': 9, 'prompt_tokens': 494, 'total_tokens': 503}",0
7,B,C,"{'completion_tokens': 14, 'prompt_tokens': 582, 'total_tokens': 596}",0
8,D,B,"{'completion_tokens': 9, 'prompt_tokens': 534, 'total_tokens': 543}",0
9,A,A,"{'completion_tokens': 18, 'prompt_tokens': 480, 'total_tokens': 498}",1
10,C,D,"{'completion_tokens': 21, 'prompt_tokens': 643, 'total_tokens': 664}",0
11,C,D,"{'completion_tokens': 15, 'prompt_tokens': 649, 'total_tokens': 664}",0
12,A,B,"{'completion_tokens': 14, 'prompt_tokens': 499, 'total_tokens': 513}",0
13,C,D,"{'completion_tokens': 18, 'prompt_tokens': 527, 'total_tokens': 545}",0
14,D,C,"{'completion_tokens': 13, 'prompt_tokens': 525, 'total_tokens': 538}",0
15,A,B,"{'completion_tokens': 9, 'prompt_tokens': 572, 'total_tokens': 581}",0
16,C,D,"{'completion_tokens': 341, 'prompt_tokens': 601, 'total_tokens': 942}",0
17,D,D,"{'completion_tokens': 11, 'prompt_tokens': 580, 'total_tokens': 591}",1
18,A,B,"{'completion_tokens': 9, 'prompt_tokens': 601, 'total_tokens': 610}",0
19,B,D,"{'completion_tokens': 14, 'prompt_tokens': 546, 'total_tokens': 560}",0
20,C,C,"{'completion_tokens': 9, 'prompt_tokens': 578, 'total_tokens': 587}",1
21,A,A,"{'completion_tokens': 9, 'prompt_tokens': 539, 'total_tokens': 548}",1
22,D,C,"{'completion_tokens': 9, 'prompt_tokens': 608, 'total_tokens': 617}",0
23,A,D,"{'completion_tokens': 9, 'prompt_tokens': 617, 'total_tokens': 626}",0
24,D,A,"{'completion_tokens': 19, 'prompt_tokens': 701, 'total_tokens': 720}",0
25,A,D,"{'completion_tokens': 15, 'prompt_tokens': 472, 'total_tokens': 487}",0
26,D,D,"{'completion_tokens': 9, 'prompt_tokens': 572, 'total_tokens': 581}",1
27,A,A,"{'completion_tokens': 9, 'prompt_tokens': 602, 'total_tokens': 611}",1
28,C,D,"{'completion_tokens': 9, 'prompt_tokens': 670, 'total_tokens': 679}",0
29,A,C,"{'completion_tokens': 9, 'prompt_tokens': 569, 'total_tokens': 578}",0
30,:,D,"{'completion_tokens': 18, 'prompt_tokens': 635, 'total_tokens': 653}",0
31,:,C,"{'completion_tokens': 18, 'prompt_tokens': 492, 'total_tokens': 510}",0
32,A,D,"{'completion_tokens': 10, 'prompt_tokens': 609, 'total_tokens': 619}",0
33,D,B,"{'completion_tokens': 17, 'prompt_tokens': 514, 'total_tokens': 531}",0
34,B,A,"{'completion_tokens': 13, 'prompt_tokens': 723, 'total_tokens': 736}",0
35,D,A,"{'completion_tokens': 9, 'prompt_tokens': 514, 'total_tokens': 523}",0
36,C,D,"{'completion_tokens': 9, 'prompt_tokens': 486, 'total_tokens': 495}",0
37,A,A,"{'completion_tokens': 9, 'prompt_tokens': 488, 'total_tokens': 497}",1
38,D,D,"{'completion_tokens': 15, 'prompt_tokens': 661, 'total_tokens': 676}",1
