Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 6, 'prompt_tokens': 233, 'total_tokens': 239}",0
1,A,D,"{'completion_tokens': 13, 'prompt_tokens': 194, 'total_tokens': 207}",0
2,A,B,"{'completion_tokens': 13, 'prompt_tokens': 393, 'total_tokens': 406}",0
3,?,D,"{'completion_tokens': 6, 'prompt_tokens': 387, 'total_tokens': 393}",0
4,B,B,"{'completion_tokens': 12, 'prompt_tokens': 268, 'total_tokens': 280}",1
5,D,D,"{'completion_tokens': 13, 'prompt_tokens': 203, 'total_tokens': 216}",1
6,,C,"{'completion_tokens': 5, 'prompt_tokens': 194, 'total_tokens': 199}",0
7,B,C,"{'completion_tokens': 11, 'prompt_tokens': 282, 'total_tokens': 293}",0
8,?,B,"{'completion_tokens': 6, 'prompt_tokens': 234, 'total_tokens': 240}",0
9,,A,"{'completion_tokens': 5, 'prompt_tokens': 180, 'total_tokens': 185}",0
10,<,D,"{'completion_tokens': 9, 'prompt_tokens': 343, 'total_tokens': 352}",0
11,C,D,"{'completion_tokens': 12, 'prompt_tokens': 349, 'total_tokens': 361}",0
12,B,B,"{'completion_tokens': 11, 'prompt_tokens': 199, 'total_tokens': 210}",1
13,,D,"{'completion_tokens': 5, 'prompt_tokens': 227, 'total_tokens': 232}",0
14,B,C,"{'completion_tokens': 12, 'prompt_tokens': 225, 'total_tokens': 237}",0
15,B,B,"{'completion_tokens': 12, 'prompt_tokens': 272, 'total_tokens': 284}",1
16,D,D,"{'completion_tokens': 10, 'prompt_tokens': 301, 'total_tokens': 311}",1
17,C,D,"{'completion_tokens': 8, 'prompt_tokens': 280, 'total_tokens': 288}",0
18,A,B,"{'completion_tokens': 16, 'prompt_tokens': 301, 'total_tokens': 317}",0
19,B,D,"{'completion_tokens': 11, 'prompt_tokens': 246, 'total_tokens': 257}",0
20,:,C,"{'completion_tokens': 11, 'prompt_tokens': 278, 'total_tokens': 289}",0
21,,A,"{'completion_tokens': 5, 'prompt_tokens': 239, 'total_tokens': 244}",0
22,B,C,"{'completion_tokens': 14, 'prompt_tokens': 308, 'total_tokens': 322}",0
23,D,D,"{'completion_tokens': 14, 'prompt_tokens': 317, 'total_tokens': 331}",1
24,d,A,"{'completion_tokens': 6, 'prompt_tokens': 401, 'total_tokens': 407}",0
25,A,D,"{'completion_tokens': 12, 'prompt_tokens': 172, 'total_tokens': 184}",0
26,N,D,"{'completion_tokens': 10, 'prompt_tokens': 272, 'total_tokens': 282}",0
27,B,A,"{'completion_tokens': 35, 'prompt_tokens': 302, 'total_tokens': 337}",0
28,B,D,"{'completion_tokens': 11, 'prompt_tokens': 370, 'total_tokens': 381}",0
29,,C,"{'completion_tokens': 5, 'prompt_tokens': 269, 'total_tokens': 274}",0
30,D,D,"{'completion_tokens': 15, 'prompt_tokens': 335, 'total_tokens': 350}",1
31,B,C,"{'completion_tokens': 11, 'prompt_tokens': 192, 'total_tokens': 203}",0
32,A,D,"{'completion_tokens': 12, 'prompt_tokens': 309, 'total_tokens': 321}",0
33,A,B,"{'completion_tokens': 14, 'prompt_tokens': 214, 'total_tokens': 228}",0
34,d,A,"{'completion_tokens': 6, 'prompt_tokens': 423, 'total_tokens': 429}",0
35,,A,"{'completion_tokens': 5, 'prompt_tokens': 214, 'total_tokens': 219}",0
36,,D,"{'completion_tokens': 5, 'prompt_tokens': 186, 'total_tokens': 191}",0
37,N,A,"{'completion_tokens': 10, 'prompt_tokens': 188, 'total_tokens': 198}",0
38,A,D,"{'completion_tokens': 13, 'prompt_tokens': 361, 'total_tokens': 374}",0
39,D,A,"{'completion_tokens': 22, 'prompt_tokens': 222, 'total_tokens': 244}",0
40,B,C,"{'completion_tokens': 14, 'prompt_tokens': 355, 'total_tokens': 369}",0
41,C,C,"{'completion_tokens': 11, 'prompt_tokens': 471, 'total_tokens': 482}",1
42,B,A,"{'completion_tokens': 12, 'prompt_tokens': 356, 'total_tokens': 368}",0
