Q_idx,pred,real,usage,Correct_Ans
0,C,B,"{'completion_tokens': 1016, 'prompt_tokens': 233, 'total_tokens': 1249}",0
1,D,D,"{'completion_tokens': 417, 'prompt_tokens': 194, 'total_tokens': 611}",1
2,B,B,"{'completion_tokens': 733, 'prompt_tokens': 393, 'total_tokens': 1126}",1
3,B,D,"{'completion_tokens': 454, 'prompt_tokens': 387, 'total_tokens': 841}",0
4,B,B,"{'completion_tokens': 333, 'prompt_tokens': 268, 'total_tokens': 601}",1
5,B,D,"{'completion_tokens': 971, 'prompt_tokens': 203, 'total_tokens': 1174}",0
6,B,C,"{'completion_tokens': 1273, 'prompt_tokens': 194, 'total_tokens': 1467}",0
7,C,C,"{'completion_tokens': 315, 'prompt_tokens': 282, 'total_tokens': 597}",1
8,B,B,"{'completion_tokens': 441, 'prompt_tokens': 234, 'total_tokens': 675}",1
9,A,A,"{'completion_tokens': 442, 'prompt_tokens': 180, 'total_tokens': 622}",1
10,D,D,"{'completion_tokens': 584, 'prompt_tokens': 343, 'total_tokens': 927}",1
11,D,D,"{'completion_tokens': 535, 'prompt_tokens': 349, 'total_tokens': 884}",1
12,B,B,"{'completion_tokens': 356, 'prompt_tokens': 199, 'total_tokens': 555}",1
13,D,D,"{'completion_tokens': 721, 'prompt_tokens': 227, 'total_tokens': 948}",1
14,C,C,"{'completion_tokens': 359, 'prompt_tokens': 225, 'total_tokens': 584}",1
15,B,B,"{'completion_tokens': 1413, 'prompt_tokens': 272, 'total_tokens': 1685}",1
16,D,D,"{'completion_tokens': 232, 'prompt_tokens': 301, 'total_tokens': 533}",1
17,D,D,"{'completion_tokens': 290, 'prompt_tokens': 280, 'total_tokens': 570}",1
18,B,B,"{'completion_tokens': 887, 'prompt_tokens': 301, 'total_tokens': 1188}",1
19,B,D,"{'completion_tokens': 394, 'prompt_tokens': 246, 'total_tokens': 640}",0
20,C,C,"{'completion_tokens': 615, 'prompt_tokens': 278, 'total_tokens': 893}",1
21,A,A,"{'completion_tokens': 869, 'prompt_tokens': 239, 'total_tokens': 1108}",1
22,C,C,"{'completion_tokens': 597, 'prompt_tokens': 308, 'total_tokens': 905}",1
23,A,D,"{'completion_tokens': 1842, 'prompt_tokens': 317, 'total_tokens': 2159}",0
24,A,A,"{'completion_tokens': 370, 'prompt_tokens': 401, 'total_tokens': 771}",1
25,D,D,"{'completion_tokens': 510, 'prompt_tokens': 172, 'total_tokens': 682}",1
26,D,D,"{'completion_tokens': 374, 'prompt_tokens': 272, 'total_tokens': 646}",1
27,A,A,"{'completion_tokens': 372, 'prompt_tokens': 302, 'total_tokens': 674}",1
28,D,D,"{'completion_tokens': 891, 'prompt_tokens': 370, 'total_tokens': 1261}",1
29,A,C,"{'completion_tokens': 490, 'prompt_tokens': 269, 'total_tokens': 759}",0
30,D,D,"{'completion_tokens': 859, 'prompt_tokens': 335, 'total_tokens': 1194}",1
31,D,C,"{'completion_tokens': 1080, 'prompt_tokens': 192, 'total_tokens': 1272}",0
32,C,D,"{'completion_tokens': 1273, 'prompt_tokens': 309, 'total_tokens': 1582}",0
33,C,B,"{'completion_tokens': 2469, 'prompt_tokens': 214, 'total_tokens': 2683}",0
34,D,A,"{'completion_tokens': 609, 'prompt_tokens': 423, 'total_tokens': 1032}",0
35,A,A,"{'completion_tokens': 381, 'prompt_tokens': 214, 'total_tokens': 595}",1
36,D,D,"{'completion_tokens': 762, 'prompt_tokens': 186, 'total_tokens': 948}",1
37,A,A,"{'completion_tokens': 1054, 'prompt_tokens': 188, 'total_tokens': 1242}",1
38,D,D,"{'completion_tokens': 2913, 'prompt_tokens': 361, 'total_tokens': 3274}",1
39,A,A,"{'completion_tokens': 910, 'prompt_tokens': 222, 'total_tokens': 1132}",1
40,C,C,"{'completion_tokens': 437, 'prompt_tokens': 355, 'total_tokens': 792}",1
41,C,C,"{'completion_tokens': 392, 'prompt_tokens': 471, 'total_tokens': 863}",1
42,A,A,"{'completion_tokens': 1282, 'prompt_tokens': 356, 'total_tokens': 1638}",1
43,C,B,"{'completion_tokens': 367, 'prompt_tokens': 149, 'total_tokens': 516}",0
44,C,A,"{'completion_tokens': 355, 'prompt_tokens': 342, 'total_tokens': 697}",0
45,D,D,"{'completion_tokens': 1267, 'prompt_tokens': 288, 'total_tokens': 1555}",1
46,C,C,"{'completion_tokens': 371, 'prompt_tokens': 261, 'total_tokens': 632}",1
47,A,A,"{'completion_tokens': 456, 'prompt_tokens': 318, 'total_tokens': 774}",1
48,B,B,"{'completion_tokens': 847, 'prompt_tokens': 265, 'total_tokens': 1112}",1
49,C,C,"{'completion_tokens': 480, 'prompt_tokens': 267, 'total_tokens': 747}",1
50,D,D,"{'completion_tokens': 479, 'prompt_tokens': 142, 'total_tokens': 621}",1
51,A,A,"{'completion_tokens': 1124, 'prompt_tokens': 320, 'total_tokens': 1444}",1
52,D,D,"{'completion_tokens': 630, 'prompt_tokens': 197, 'total_tokens': 827}",1
53,C,C,"{'completion_tokens': 1119, 'prompt_tokens': 174, 'total_tokens': 1293}",1
54,A,A,"{'completion_tokens': 428, 'prompt_tokens': 208, 'total_tokens': 636}",1
55,A,A,"{'completion_tokens': 469, 'prompt_tokens': 262, 'total_tokens': 731}",1
56,C,C,"{'completion_tokens': 349, 'prompt_tokens': 143, 'total_tokens': 492}",1
57,B,B,"{'completion_tokens': 1244, 'prompt_tokens': 238, 'total_tokens': 1482}",1
58,C,C,"{'completion_tokens': 377, 'prompt_tokens': 453, 'total_tokens': 830}",1
59,C,A,"{'completion_tokens': 706, 'prompt_tokens': 281, 'total_tokens': 987}",0
60,C,C,"{'completion_tokens': 539, 'prompt_tokens': 238, 'total_tokens': 777}",1
61,A,A,"{'completion_tokens': 376, 'prompt_tokens': 181, 'total_tokens': 557}",1
62,D,D,"{'completion_tokens': 1173, 'prompt_tokens': 311, 'total_tokens': 1484}",1
63,C,A,"{'completion_tokens': 672, 'prompt_tokens': 382, 'total_tokens': 1054}",0
64,A,A,"{'completion_tokens': 1117, 'prompt_tokens': 294, 'total_tokens': 1411}",1
65,B,B,"{'completion_tokens': 651, 'prompt_tokens': 242, 'total_tokens': 893}",1
66,C,C,"{'completion_tokens': 315, 'prompt_tokens': 264, 'total_tokens': 579}",1
67,B,B,"{'completion_tokens': 1065, 'prompt_tokens': 326, 'total_tokens': 1391}",1
68,D,D,"{'completion_tokens': 611, 'prompt_tokens': 305, 'total_tokens': 916}",1
69,D,A,"{'completion_tokens': 827, 'prompt_tokens': 296, 'total_tokens': 1123}",0
70,A,A,"{'completion_tokens': 1137, 'prompt_tokens': 464, 'total_tokens': 1601}",1
71,A,A,"{'completion_tokens': 539, 'prompt_tokens': 285, 'total_tokens': 824}",1
72,A,C,"{'completion_tokens': 1296, 'prompt_tokens': 496, 'total_tokens': 1792}",0
73,B,B,"{'completion_tokens': 548, 'prompt_tokens': 250, 'total_tokens': 798}",1
74,A,C,"{'completion_tokens': 604, 'prompt_tokens': 343, 'total_tokens': 947}",0
75,A,A,"{'completion_tokens': 566, 'prompt_tokens': 203, 'total_tokens': 769}",1
76,B,B,"{'completion_tokens': 312, 'prompt_tokens': 291, 'total_tokens': 603}",1
77,C,B,"{'completion_tokens': 1089, 'prompt_tokens': 216, 'total_tokens': 1305}",0
78,C,C,"{'completion_tokens': 801, 'prompt_tokens': 206, 'total_tokens': 1007}",1
79,C,C,"{'completion_tokens': 383, 'prompt_tokens': 347, 'total_tokens': 730}",1
80,B,B,"{'completion_tokens': 330, 'prompt_tokens': 150, 'total_tokens': 480}",1
81,C,A,"{'completion_tokens': 1940, 'prompt_tokens': 203, 'total_tokens': 2143}",0
82,C,C,"{'completion_tokens': 252, 'prompt_tokens': 204, 'total_tokens': 456}",1
83,A,A,"{'completion_tokens': 1132, 'prompt_tokens': 374, 'total_tokens': 1506}",1
84,C,C,"{'completion_tokens': 548, 'prompt_tokens': 310, 'total_tokens': 858}",1
85,B,B,"{'completion_tokens': 565, 'prompt_tokens': 293, 'total_tokens': 858}",1
86,C,C,"{'completion_tokens': 228, 'prompt_tokens': 256, 'total_tokens': 484}",1
87,C,C,"{'completion_tokens': 622, 'prompt_tokens': 460, 'total_tokens': 1082}",1
88,B,C,"{'completion_tokens': 1619, 'prompt_tokens': 330, 'total_tokens': 1949}",0
89,B,B,"{'completion_tokens': 393, 'prompt_tokens': 322, 'total_tokens': 715}",1
90,D,D,"{'completion_tokens': 494, 'prompt_tokens': 274, 'total_tokens': 768}",1
91,B,B,"{'completion_tokens': 472, 'prompt_tokens': 252, 'total_tokens': 724}",1
92,C,C,"{'completion_tokens': 314, 'prompt_tokens': 230, 'total_tokens': 544}",1
93,D,D,"{'completion_tokens': 662, 'prompt_tokens': 333, 'total_tokens': 995}",1
94,C,C,"{'completion_tokens': 758, 'prompt_tokens': 326, 'total_tokens': 1084}",1
95,C,D,"{'completion_tokens': 1744, 'prompt_tokens': 269, 'total_tokens': 2013}",0
96,A,A,"{'completion_tokens': 830, 'prompt_tokens': 316, 'total_tokens': 1146}",1
97,B,B,"{'completion_tokens': 524, 'prompt_tokens': 209, 'total_tokens': 733}",1
98,B,B,"{'completion_tokens': 375, 'prompt_tokens': 193, 'total_tokens': 568}",1
99,B,B,"{'completion_tokens': 270, 'prompt_tokens': 201, 'total_tokens': 471}",1
