Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 3, 'prompt_tokens': 537, 'total_tokens': 540}",0
1,C,D,"{'completion_tokens': 8, 'prompt_tokens': 497, 'total_tokens': 505}",0
2,B,B,"{'completion_tokens': 7, 'prompt_tokens': 680, 'total_tokens': 687}",1
3,B,D,"{'completion_tokens': 3, 'prompt_tokens': 697, 'total_tokens': 700}",0
4,B,B,"{'completion_tokens': 3, 'prompt_tokens': 553, 'total_tokens': 556}",1
5,B,D,"{'completion_tokens': 3, 'prompt_tokens': 506, 'total_tokens': 509}",0
6,A,C,"{'completion_tokens': 7, 'prompt_tokens': 488, 'total_tokens': 495}",0
7,C,C,"{'completion_tokens': 3, 'prompt_tokens': 572, 'total_tokens': 575}",1
8,B,B,"{'completion_tokens': 3, 'prompt_tokens': 532, 'total_tokens': 535}",1
9,A,A,"{'completion_tokens': 3, 'prompt_tokens': 485, 'total_tokens': 488}",1
10,D,D,"{'completion_tokens': 3, 'prompt_tokens': 646, 'total_tokens': 649}",1
11,D,D,"{'completion_tokens': 3, 'prompt_tokens': 645, 'total_tokens': 648}",1
12,B,B,"{'completion_tokens': 7, 'prompt_tokens': 498, 'total_tokens': 505}",1
13,B,D,"{'completion_tokens': 11, 'prompt_tokens': 522, 'total_tokens': 533}",0
14,D,C,"{'completion_tokens': 3, 'prompt_tokens': 526, 'total_tokens': 529}",0
15,B,B,"{'completion_tokens': 3, 'prompt_tokens': 573, 'total_tokens': 576}",1
16,C,D,"{'completion_tokens': 3, 'prompt_tokens': 601, 'total_tokens': 604}",0
17,B,D,"{'completion_tokens': 3, 'prompt_tokens': 581, 'total_tokens': 584}",0
18,B,B,"{'completion_tokens': 3, 'prompt_tokens': 606, 'total_tokens': 609}",1
19,B,D,"{'completion_tokens': 3, 'prompt_tokens': 543, 'total_tokens': 546}",0
20,D,C,"{'completion_tokens': 3, 'prompt_tokens': 579, 'total_tokens': 582}",0
21,A,A,"{'completion_tokens': 3, 'prompt_tokens': 541, 'total_tokens': 544}",1
22,C,C,"{'completion_tokens': 3, 'prompt_tokens': 598, 'total_tokens': 601}",1
23,A,D,"{'completion_tokens': 6, 'prompt_tokens': 613, 'total_tokens': 619}",0
24,A,A,"{'completion_tokens': 10, 'prompt_tokens': 697, 'total_tokens': 707}",1
25,D,D,"{'completion_tokens': 3, 'prompt_tokens': 460, 'total_tokens': 463}",1
26,C,D,"{'completion_tokens': 3, 'prompt_tokens': 577, 'total_tokens': 580}",0
27,A,A,"{'completion_tokens': 3, 'prompt_tokens': 583, 'total_tokens': 586}",1
28,B,D,"{'completion_tokens': 7, 'prompt_tokens': 658, 'total_tokens': 665}",0
29,C,C,"{'completion_tokens': 3, 'prompt_tokens': 569, 'total_tokens': 572}",1
30,B,D,"{'completion_tokens': 3, 'prompt_tokens': 629, 'total_tokens': 632}",0
31,C,C,"{'completion_tokens': 3, 'prompt_tokens': 496, 'total_tokens': 499}",1
32,D,D,"{'completion_tokens': 3, 'prompt_tokens': 607, 'total_tokens': 610}",1
33,D,B,"{'completion_tokens': 3, 'prompt_tokens': 513, 'total_tokens': 516}",0
34,D,A,"{'completion_tokens': 3, 'prompt_tokens': 732, 'total_tokens': 735}",0
35,A,A,"{'completion_tokens': 3, 'prompt_tokens': 514, 'total_tokens': 517}",1
36,D,D,"{'completion_tokens': 3, 'prompt_tokens': 483, 'total_tokens': 486}",1
37,A,A,"{'completion_tokens': 3, 'prompt_tokens': 490, 'total_tokens': 493}",1
38,D,D,"{'completion_tokens': 3, 'prompt_tokens': 665, 'total_tokens': 668}",1
39,D,A,"{'completion_tokens': 3, 'prompt_tokens': 524, 'total_tokens': 527}",0
40,C,C,"{'completion_tokens': 3, 'prompt_tokens': 655, 'total_tokens': 658}",1
41,C,C,"{'completion_tokens': 3, 'prompt_tokens': 777, 'total_tokens': 780}",1
42,A,A,"{'completion_tokens': 3, 'prompt_tokens': 660, 'total_tokens': 663}",1
43,A,B,"{'completion_tokens': 8, 'prompt_tokens': 452, 'total_tokens': 460}",0
44,C,A,"{'completion_tokens': 3, 'prompt_tokens': 643, 'total_tokens': 646}",0
45,C,D,"{'completion_tokens': 3, 'prompt_tokens': 583, 'total_tokens': 586}",0
