Q_idx,q_subject,pred,real,usage,Correct_Ans
8932,49-year-old,C,D,"{'completion_tokens': 1454, 'prompt_tokens': 251, 'total_tokens': 1705}",0
8449,3-year-old,D,E,"{'completion_tokens': 585, 'prompt_tokens': 270, 'total_tokens': 855}",0
714,17-year-old,C,A,"{'completion_tokens': 288, 'prompt_tokens': 319, 'total_tokens': 607}",0
7599,33-year-old,C,E,"{'completion_tokens': 956, 'prompt_tokens': 327, 'total_tokens': 1283}",0
9679,9-year-old,A,B,"{'completion_tokens': 274, 'prompt_tokens': 274, 'total_tokens': 548}",0
4899,8-year-old,D,B,"{'completion_tokens': 430, 'prompt_tokens': 248, 'total_tokens': 678}",0
1173,24-year-old,A,E,"{'completion_tokens': 316, 'prompt_tokens': 281, 'total_tokens': 597}",0
2444,23-year-old,C,C,"{'completion_tokens': 627, 'prompt_tokens': 269, 'total_tokens': 896}",1
3642,37-year-old,A,E,"{'completion_tokens': 778, 'prompt_tokens': 198, 'total_tokens': 976}",0
6168,60-year-old,B,D,"{'completion_tokens': 479, 'prompt_tokens': 286, 'total_tokens': 765}",0
318,7-month-old,B,A,"{'completion_tokens': 1900, 'prompt_tokens': 344, 'total_tokens': 2244}",0
4211,87-year-old,B,B,"{'completion_tokens': 874, 'prompt_tokens': 202, 'total_tokens': 1076}",1
2055,82-year-old,E,D,"{'completion_tokens': 780, 'prompt_tokens': 272, 'total_tokens': 1052}",0
9058,38-year-old,C,C,"{'completion_tokens': 1057, 'prompt_tokens': 314, 'total_tokens': 1371}",1
5132,72-year-old,E,E,"{'completion_tokens': 1461, 'prompt_tokens': 274, 'total_tokens': 1735}",1
6425,57-year-old,E,A,"{'completion_tokens': 773, 'prompt_tokens': 291, 'total_tokens': 1064}",0
8010,27-year-old,A,E,"{'completion_tokens': 907, 'prompt_tokens': 308, 'total_tokens': 1215}",0
3448,17-year-old,A,B,"{'completion_tokens': 531, 'prompt_tokens': 216, 'total_tokens': 747}",0
992,17-year-old,A,D,"{'completion_tokens': 957, 'prompt_tokens': 205, 'total_tokens': 1162}",0
9118,4-year-old,C,C,"{'completion_tokens': 1125, 'prompt_tokens': 182, 'total_tokens': 1307}",1
236,49-year-old,C,B,"{'completion_tokens': 1923, 'prompt_tokens': 247, 'total_tokens': 2170}",0
2061,58-year-old,D,D,"{'completion_tokens': 1794, 'prompt_tokens': 232, 'total_tokens': 2026}",1
1834,12-year-old,B,A,"{'completion_tokens': 376, 'prompt_tokens': 263, 'total_tokens': 639}",0
4660,72-year-old,E,D,"{'completion_tokens': 942, 'prompt_tokens': 291, 'total_tokens': 1233}",0
5574,64-year-old,D,B,"{'completion_tokens': 569, 'prompt_tokens': 254, 'total_tokens': 823}",0
1006,71-year-old,A,D,"{'completion_tokens': 481, 'prompt_tokens': 478, 'total_tokens': 959}",0
1229,30-year-old,A,A,"{'completion_tokens': 1176, 'prompt_tokens': 324, 'total_tokens': 1500}",1
6714,42-year-old,A,D,"{'completion_tokens': 361, 'prompt_tokens': 265, 'total_tokens': 626}",0
5901,young,C,B,"{'completion_tokens': 798, 'prompt_tokens': 213, 'total_tokens': 1011}",0
179,34-year-old,E,D,"{'completion_tokens': 439, 'prompt_tokens': 215, 'total_tokens': 654}",0
6944,46-year-old,C,C,"{'completion_tokens': 994, 'prompt_tokens': 357, 'total_tokens': 1351}",1
3949,48-year-old,B,C,"{'completion_tokens': 1374, 'prompt_tokens': 435, 'total_tokens': 1809}",0
4247,33-year-old,D,B,"{'completion_tokens': 493, 'prompt_tokens': 213, 'total_tokens': 706}",0
1570,9-year-old,A,A,"{'completion_tokens': 1210, 'prompt_tokens': 385, 'total_tokens': 1595}",1
1126,16-year-old,B,B,"{'completion_tokens': 642, 'prompt_tokens': 270, 'total_tokens': 912}",1
4140,36-year-old,B,A,"{'completion_tokens': 648, 'prompt_tokens': 261, 'total_tokens': 909}",0
337,23-year-old,D,D,"{'completion_tokens': 1421, 'prompt_tokens': 269, 'total_tokens': 1690}",1
7820,hours,A,A,"{'completion_tokens': 574, 'prompt_tokens': 259, 'total_tokens': 833}",1
3647,26-year-old,C,C,"{'completion_tokens': 440, 'prompt_tokens': 285, 'total_tokens': 725}",1
8750,62-year-old,D,E,"{'completion_tokens': 644, 'prompt_tokens': 402, 'total_tokens': 1046}",0
3899,43-year-old,A,C,"{'completion_tokens': 614, 'prompt_tokens': 349, 'total_tokens': 963}",0
6050,9-year-old,B,B,"{'completion_tokens': 548, 'prompt_tokens': 178, 'total_tokens': 726}",1
1666,27-year-old,A,D,"{'completion_tokens': 762, 'prompt_tokens': 416, 'total_tokens': 1178}",0
8425,37-year-old,E,D,"{'completion_tokens': 348, 'prompt_tokens': 355, 'total_tokens': 703}",0
2450,53-year-old,E,D,"{'completion_tokens': 396, 'prompt_tokens': 234, 'total_tokens': 630}",0
5467,36-year-old,C,B,"{'completion_tokens': 308, 'prompt_tokens': 204, 'total_tokens': 512}",0
8311,40-year-old,B,C,"{'completion_tokens': 298, 'prompt_tokens': 235, 'total_tokens': 533}",0
5154,55-year-old,C,B,"{'completion_tokens': 337, 'prompt_tokens': 408, 'total_tokens': 745}",0
5162,5-year-old,A,B,"{'completion_tokens': 969, 'prompt_tokens': 309, 'total_tokens': 1278}",0
6226,10-year-old,A,E,"{'completion_tokens': 584, 'prompt_tokens': 269, 'total_tokens': 853}",0
