Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 1729, 'prompt_tokens': 233, 'total_tokens': 1962}",0
1,D,D,"{'completion_tokens': 2254, 'prompt_tokens': 194, 'total_tokens': 2448}",1
2,B,B,"{'completion_tokens': 1270, 'prompt_tokens': 393, 'total_tokens': 1663}",1
3,B,D,"{'completion_tokens': 1027, 'prompt_tokens': 387, 'total_tokens': 1414}",0
4,B,B,"{'completion_tokens': 434, 'prompt_tokens': 268, 'total_tokens': 702}",1
5,B,D,"{'completion_tokens': 1151, 'prompt_tokens': 203, 'total_tokens': 1354}",0
6,C,C,"{'completion_tokens': 1035, 'prompt_tokens': 194, 'total_tokens': 1229}",1
7,C,C,"{'completion_tokens': 439, 'prompt_tokens': 282, 'total_tokens': 721}",1
8,B,B,"{'completion_tokens': 564, 'prompt_tokens': 234, 'total_tokens': 798}",1
9,A,A,"{'completion_tokens': 606, 'prompt_tokens': 180, 'total_tokens': 786}",1
10,D,D,"{'completion_tokens': 1003, 'prompt_tokens': 343, 'total_tokens': 1346}",1
11,D,D,"{'completion_tokens': 922, 'prompt_tokens': 349, 'total_tokens': 1271}",1
12,B,B,"{'completion_tokens': 321, 'prompt_tokens': 199, 'total_tokens': 520}",1
13,D,D,"{'completion_tokens': 1383, 'prompt_tokens': 227, 'total_tokens': 1610}",1
14,C,C,"{'completion_tokens': 947, 'prompt_tokens': 225, 'total_tokens': 1172}",1
15,B,B,"{'completion_tokens': 1605, 'prompt_tokens': 272, 'total_tokens': 1877}",1
16,D,D,"{'completion_tokens': 1035, 'prompt_tokens': 301, 'total_tokens': 1336}",1
17,D,D,"{'completion_tokens': 281, 'prompt_tokens': 280, 'total_tokens': 561}",1
18,B,B,"{'completion_tokens': 743, 'prompt_tokens': 301, 'total_tokens': 1044}",1
19,B,D,"{'completion_tokens': 653, 'prompt_tokens': 246, 'total_tokens': 899}",0
20,C,C,"{'completion_tokens': 305, 'prompt_tokens': 278, 'total_tokens': 583}",1
21,A,A,"{'completion_tokens': 1554, 'prompt_tokens': 239, 'total_tokens': 1793}",1
22,C,C,"{'completion_tokens': 448, 'prompt_tokens': 308, 'total_tokens': 756}",1
23,A,D,"{'completion_tokens': 803, 'prompt_tokens': 317, 'total_tokens': 1120}",0
24,A,A,"{'completion_tokens': 1863, 'prompt_tokens': 401, 'total_tokens': 2264}",1
25,D,D,"{'completion_tokens': 364, 'prompt_tokens': 172, 'total_tokens': 536}",1
26,D,D,"{'completion_tokens': 364, 'prompt_tokens': 272, 'total_tokens': 636}",1
27,A,A,"{'completion_tokens': 304, 'prompt_tokens': 302, 'total_tokens': 606}",1
28,D,D,"{'completion_tokens': 1665, 'prompt_tokens': 370, 'total_tokens': 2035}",1
29,A,C,"{'completion_tokens': 1299, 'prompt_tokens': 269, 'total_tokens': 1568}",0
30,B,D,"{'completion_tokens': 2209, 'prompt_tokens': 335, 'total_tokens': 2544}",0
31,C,C,"{'completion_tokens': 1810, 'prompt_tokens': 192, 'total_tokens': 2002}",1
32,D,D,"{'completion_tokens': 847, 'prompt_tokens': 309, 'total_tokens': 1156}",1
33,D,B,"{'completion_tokens': 2265, 'prompt_tokens': 214, 'total_tokens': 2479}",0
34,A,A,"{'completion_tokens': 899, 'prompt_tokens': 423, 'total_tokens': 1322}",1
35,A,A,"{'completion_tokens': 453, 'prompt_tokens': 214, 'total_tokens': 667}",1
36,D,D,"{'completion_tokens': 1479, 'prompt_tokens': 186, 'total_tokens': 1665}",1
37,A,A,"{'completion_tokens': 903, 'prompt_tokens': 188, 'total_tokens': 1091}",1
38,D,D,"{'completion_tokens': 2791, 'prompt_tokens': 361, 'total_tokens': 3152}",1
39,A,A,"{'completion_tokens': 1563, 'prompt_tokens': 222, 'total_tokens': 1785}",1
40,C,C,"{'completion_tokens': 606, 'prompt_tokens': 355, 'total_tokens': 961}",1
41,C,C,"{'completion_tokens': 563, 'prompt_tokens': 471, 'total_tokens': 1034}",1
42,A,A,"{'completion_tokens': 709, 'prompt_tokens': 356, 'total_tokens': 1065}",1
43,B,B,"{'completion_tokens': 2657, 'prompt_tokens': 149, 'total_tokens': 2806}",1
44,A,A,"{'completion_tokens': 1676, 'prompt_tokens': 342, 'total_tokens': 2018}",1
45,D,D,"{'completion_tokens': 2167, 'prompt_tokens': 288, 'total_tokens': 2455}",1
46,C,C,"{'completion_tokens': 760, 'prompt_tokens': 261, 'total_tokens': 1021}",1
47,A,A,"{'completion_tokens': 2438, 'prompt_tokens': 318, 'total_tokens': 2756}",1
48,B,B,"{'completion_tokens': 2108, 'prompt_tokens': 265, 'total_tokens': 2373}",1
49,C,C,"{'completion_tokens': 357, 'prompt_tokens': 267, 'total_tokens': 624}",1
50,D,D,"{'completion_tokens': 307, 'prompt_tokens': 142, 'total_tokens': 449}",1
51,D,A,"{'completion_tokens': 3124, 'prompt_tokens': 320, 'total_tokens': 3444}",0
52,D,D,"{'completion_tokens': 684, 'prompt_tokens': 197, 'total_tokens': 881}",1
53,C,C,"{'completion_tokens': 951, 'prompt_tokens': 174, 'total_tokens': 1125}",1
54,A,A,"{'completion_tokens': 457, 'prompt_tokens': 208, 'total_tokens': 665}",1
55,A,A,"{'completion_tokens': 439, 'prompt_tokens': 262, 'total_tokens': 701}",1
56,C,C,"{'completion_tokens': 312, 'prompt_tokens': 143, 'total_tokens': 455}",1
57,B,B,"{'completion_tokens': 2406, 'prompt_tokens': 238, 'total_tokens': 2644}",1
58,C,C,"{'completion_tokens': 480, 'prompt_tokens': 453, 'total_tokens': 933}",1
59,C,A,"{'completion_tokens': 941, 'prompt_tokens': 281, 'total_tokens': 1222}",0
60,C,C,"{'completion_tokens': 521, 'prompt_tokens': 238, 'total_tokens': 759}",1
61,A,A,"{'completion_tokens': 411, 'prompt_tokens': 181, 'total_tokens': 592}",1
62,A,D,"{'completion_tokens': 1432, 'prompt_tokens': 311, 'total_tokens': 1743}",0
63,A,A,"{'completion_tokens': 793, 'prompt_tokens': 382, 'total_tokens': 1175}",1
