Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 21, 'prompt_tokens': 533, 'total_tokens': 554}",0
1,C,D,"{'completion_tokens': 11, 'prompt_tokens': 494, 'total_tokens': 505}",0
2,B,B,"{'completion_tokens': 12, 'prompt_tokens': 693, 'total_tokens': 705}",1
3,B,D,"{'completion_tokens': 26, 'prompt_tokens': 687, 'total_tokens': 713}",0
4,B,B,"{'completion_tokens': 12, 'prompt_tokens': 568, 'total_tokens': 580}",1
5,D,D,"{'completion_tokens': 13, 'prompt_tokens': 503, 'total_tokens': 516}",1
6,A,C,"{'completion_tokens': 13, 'prompt_tokens': 494, 'total_tokens': 507}",0
7,C,C,"{'completion_tokens': 11, 'prompt_tokens': 582, 'total_tokens': 593}",1
8,B,B,"{'completion_tokens': 16, 'prompt_tokens': 534, 'total_tokens': 550}",1
9,C,A,"{'completion_tokens': 14, 'prompt_tokens': 480, 'total_tokens': 494}",0
10,D,D,"{'completion_tokens': 22, 'prompt_tokens': 643, 'total_tokens': 665}",1
11,D,D,"{'completion_tokens': 12, 'prompt_tokens': 649, 'total_tokens': 661}",1
12,B,B,"{'completion_tokens': 11, 'prompt_tokens': 499, 'total_tokens': 510}",1
13,D,D,"{'completion_tokens': 15, 'prompt_tokens': 527, 'total_tokens': 542}",1
14,D,C,"{'completion_tokens': 10, 'prompt_tokens': 525, 'total_tokens': 535}",0
15,B,B,"{'completion_tokens': 11, 'prompt_tokens': 572, 'total_tokens': 583}",1
16,D,D,"{'completion_tokens': 10, 'prompt_tokens': 601, 'total_tokens': 611}",1
17,D,D,"{'completion_tokens': 8, 'prompt_tokens': 580, 'total_tokens': 588}",1
18,A,B,"{'completion_tokens': 16, 'prompt_tokens': 601, 'total_tokens': 617}",0
19,B,D,"{'completion_tokens': 11, 'prompt_tokens': 546, 'total_tokens': 557}",0
20,A,C,"{'completion_tokens': 10, 'prompt_tokens': 578, 'total_tokens': 588}",0
21,A,A,"{'completion_tokens': 14, 'prompt_tokens': 539, 'total_tokens': 553}",1
22,C,C,"{'completion_tokens': 15, 'prompt_tokens': 608, 'total_tokens': 623}",1
23,A,D,"{'completion_tokens': 13, 'prompt_tokens': 617, 'total_tokens': 630}",0
24,A,A,"{'completion_tokens': 13, 'prompt_tokens': 701, 'total_tokens': 714}",1
25,D,D,"{'completion_tokens': 10, 'prompt_tokens': 472, 'total_tokens': 482}",1
26,D,D,"{'completion_tokens': 11, 'prompt_tokens': 572, 'total_tokens': 583}",1
27,A,A,"{'completion_tokens': 35, 'prompt_tokens': 602, 'total_tokens': 637}",1
28,B,D,"{'completion_tokens': 11, 'prompt_tokens': 670, 'total_tokens': 681}",0
29,A,C,"{'completion_tokens': 10, 'prompt_tokens': 569, 'total_tokens': 579}",0
30,D,D,"{'completion_tokens': 14, 'prompt_tokens': 635, 'total_tokens': 649}",1
31,D,C,"{'completion_tokens': 14, 'prompt_tokens': 492, 'total_tokens': 506}",0
32,B,D,"{'completion_tokens': 17, 'prompt_tokens': 609, 'total_tokens': 626}",0
33,C,B,"{'completion_tokens': 14, 'prompt_tokens': 514, 'total_tokens': 528}",0
34,A,A,"{'completion_tokens': 17, 'prompt_tokens': 723, 'total_tokens': 740}",1
35,A,A,"{'completion_tokens': 11, 'prompt_tokens': 514, 'total_tokens': 525}",1
36,D,D,"{'completion_tokens': 19, 'prompt_tokens': 486, 'total_tokens': 505}",1
37,A,A,"{'completion_tokens': 12, 'prompt_tokens': 488, 'total_tokens': 500}",1
