Q_idx,pred,real,usage,Correct_Ans
0,A,B,"{'completion_tokens': 2, 'prompt_tokens': 266, 'total_tokens': 268}",0
1,D,D,"{'completion_tokens': 2, 'prompt_tokens': 230, 'total_tokens': 232}",1
2,C,B,"{'completion_tokens': 2, 'prompt_tokens': 425, 'total_tokens': 427}",0
3,D,D,"{'completion_tokens': 2, 'prompt_tokens': 435, 'total_tokens': 437}",1
4,B,B,"{'completion_tokens': 2, 'prompt_tokens': 300, 'total_tokens': 302}",1
5,D,D,"{'completion_tokens': 2, 'prompt_tokens': 237, 'total_tokens': 239}",1
6,A,C,"{'completion_tokens': 2, 'prompt_tokens': 226, 'total_tokens': 228}",0
7,C,C,"{'completion_tokens': 2, 'prompt_tokens': 311, 'total_tokens': 313}",1
8,D,B,"{'completion_tokens': 2, 'prompt_tokens': 269, 'total_tokens': 271}",0
9,C,A,"{'completion_tokens': 9, 'prompt_tokens': 216, 'total_tokens': 225}",0
10,D,D,"{'completion_tokens': 2, 'prompt_tokens': 376, 'total_tokens': 378}",1
11,D,D,"{'completion_tokens': 2, 'prompt_tokens': 381, 'total_tokens': 383}",1
12,V,B,"{'completion_tokens': 6, 'prompt_tokens': 232, 'total_tokens': 238}",0
13,D,D,"{'completion_tokens': 2, 'prompt_tokens': 264, 'total_tokens': 266}",1
14,C,C,"{'completion_tokens': 2, 'prompt_tokens': 260, 'total_tokens': 262}",1
15,D,B,"{'completion_tokens': 9, 'prompt_tokens': 303, 'total_tokens': 312}",0
16,D,D,"{'completion_tokens': 2, 'prompt_tokens': 336, 'total_tokens': 338}",1
17,Y,D,"{'completion_tokens': 232, 'prompt_tokens': 315, 'total_tokens': 547}",0
18,B,B,"{'completion_tokens': 2, 'prompt_tokens': 340, 'total_tokens': 342}",1
19,D,D,"{'completion_tokens': 2, 'prompt_tokens': 278, 'total_tokens': 280}",1
20,H,C,"{'completion_tokens': 8, 'prompt_tokens': 317, 'total_tokens': 325}",0
21,A,A,"{'completion_tokens': 2, 'prompt_tokens': 274, 'total_tokens': 276}",1
22,C,C,"{'completion_tokens': 2, 'prompt_tokens': 343, 'total_tokens': 345}",1
23,D,D,"{'completion_tokens': 2, 'prompt_tokens': 349, 'total_tokens': 351}",1
